"name","link","genes","ghits","mhits","mthits"
"Trans-sulfuration and one carbon metabolism","http://wikipathways.org/instance/WP2525","100996643,2937,10797,7298,200895,2729,191,1786,1788,1789,441024,6470,25902,26227,6472,29968,2730,635,5723,10768,275,1719,27430,4522,4548,4524,875,4143,1491,23382,4144,29947","","","hsa-miR-92b-3p,hsa-miR-193b-3p,hsa-miR-331-3p,hsa-miR-1,hsa-miR-155-5p,hsa-miR-16-5p,hsa-miR-421,hsa-miR-30e-5p,hsa-miR-29c-3p,hsa-miR-30d-5p,hsa-let-7b-5p,hsa-miR-34a-5p,hsa-miR-26b-5p,hsa-miR-615-3p,hsa-miR-18a-3p,hsa-miR-484,hsa-miR-194-5p,hsa-miR-99a-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-148a-3p,hsa-miR-29b-3p,hsa-miR-152-3p,hsa-miR-301b,hsa-miR-126-3p,hsa-miR-342-3p,hsa-miR-185-5p,hsa-miR-140-5p,hsa-miR-148b-3p,hsa-miR-877-3p,hsa-miR-149-5p,hsa-miR-30b-5p,hsa-miR-100-5p,hsa-miR-26a-5p,hsa-miR-1260b,hsa-miR-143-3p,hsa-miR-29a-3p,hsa-miR-369-5p,hsa-miR-101-3p,hsa-miR-335-5p,hsa-miR-375,hsa-miR-93-5p,hsa-miR-96-5p,hsa-miR-125b-5p,hsa-miR-887-3p,hsa-miR-1229-3p,hsa-miR-296-3p,hsa-miR-107,hsa-miR-124-3p,hsa-miR-940,hsa-miR-423-3p,hsa-miR-186-5p,hsa-miR-92a-3p,hsa-let-7a-5p,hsa-miR-504-5p,hsa-miR-24-3p,hsa-miR-15a-5p,hsa-miR-122-5p,hsa-miR-935,hsa-miR-93-3p,hsa-miR-503-5p,hsa-miR-99b-5p,hsa-miR-15b-5p,hsa-miR-877-5p,hsa-miR-744-5p,hsa-miR-324-5p,hsa-miR-106b-5p,hsa-miR-17-3p,hsa-miR-10a-5p,hsa-miR-103a-3p,hsa-miR-106b-3p,hsa-miR-652-3p,hsa-miR-30a-5p,hsa-miR-196b-5p,hsa-miR-324-3p,hsa-miR-326,hsa-miR-125a-5p"
"Secretion of Hydrochloric Acid in Parietal Cells","http://wikipathways.org/instance/WP2597","3274,887,1128,495,2520","","","hsa-miR-335-5p,hsa-miR-148b-3p,hsa-miR-148a-3p,hsa-miR-107"
"Signaling of Hepatocyte Growth Factor Receptor","http://wikipathways.org/instance/WP313","3725,3265,5599,5781,6774,5894,2002,3082,4233,5829,5906,6714,5728,5747,3672,5908,5605,5604,5058,101060439,1793,11184,5921,5290,1398,2889,3688,1399,2549,2885,5595,2185,2353,6654,5594","","","hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-miR-29c-3p,hsa-miR-101-3p,hsa-miR-26b-5p,hsa-miR-342-3p,hsa-miR-149-5p,hsa-miR-93-5p,hsa-miR-181d-5p,hsa-let-7a-5p,hsa-miR-143-3p,hsa-miR-181a-5p,hsa-miR-615-3p,hsa-miR-214-3p,hsa-miR-421,hsa-miR-193b-3p,hsa-miR-125a-5p,hsa-miR-140-3p,hsa-miR-10a-5p,hsa-miR-33a-5p,hsa-miR-877-5p,hsa-miR-489-3p,hsa-miR-23a-3p,hsa-miR-124-3p,hsa-miR-218-5p,hsa-miR-130b-5p,hsa-miR-320a,hsa-miR-183-5p,hsa-miR-20b-5p,hsa-miR-125b-5p,hsa-miR-337-3p,hsa-miR-21-5p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-let-7e-5p,hsa-miR-7-5p,hsa-miR-186-5p,hsa-miR-23b-3p,hsa-miR-206,hsa-miR-449a,hsa-miR-34c-5p,hsa-miR-34b-5p,hsa-miR-34a-5p,hsa-miR-1,hsa-miR-199a-3p,hsa-miR-34b-3p,hsa-miR-562,hsa-miR-340-5p,hsa-miR-449b-5p,hsa-miR-130a-3p,hsa-miR-133b,hsa-miR-31-5p,hsa-miR-1303,hsa-miR-137,hsa-miR-335-5p,hsa-miR-221-3p,hsa-miR-205-5p,hsa-miR-17-5p,hsa-miR-217,hsa-miR-216a-5p,hsa-miR-26a-5p,hsa-miR-494-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-29b-3p,hsa-miR-19a-3p,hsa-miR-141-3p,hsa-miR-19b-3p,hsa-miR-18a-5p,hsa-miR-222-3p,hsa-miR-106b-5p,hsa-miR-519c-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-29a-3p,hsa-miR-144-3p,hsa-miR-181b-5p,hsa-miR-138-5p,hsa-miR-193a-3p,hsa-let-7c-5p,hsa-miR-518b,hsa-let-7b-5p,hsa-miR-424-5p,hsa-miR-1826,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-93-3p,hsa-miR-30c-5p,hsa-miR-377-3p,mmu-miR-465a-5p,hsa-miR-122-5p,hsa-miR-423-5p,hsa-miR-296-3p,hsa-miR-132-3p,hsa-miR-148b-3p,hsa-miR-126-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-106b-3p,hsa-miR-129-1-3p,hsa-miR-15b-5p,hsa-miR-1260b,hsa-miR-375,hsa-miR-339-5p,hsa-miR-27b-3p,hsa-miR-25-3p,hsa-miR-9-3p,hsa-miR-769-5p,hsa-miR-98-5p,hsa-miR-32-5p,hsa-miR-193b-5p,hsa-miR-425-5p,hsa-miR-433-3p,hsa-miR-378a-3p,hsa-miR-92b-3p,hsa-miR-100-5p,hsa-miR-483-5p,hsa-miR-320b,hsa-miR-423-3p,hsa-miR-139-5p,hsa-miR-28-5p,hsa-miR-766-3p"
"NOD pathway","http://wikipathways.org/instance/WP1433","91662,842,8517,841,64170,840,1147,3606,5970,8767,331,14,199713,10392,84674,3320,22900,29108,58484,3553,4210,114548,147945,639,22861,55914,9447,10980,4671,838,3551,64127,51079,834,9744,101060527,50506,338322,10910,55655,5879,4792","","","hsa-miR-133a-3p,hsa-let-7a-5p,hsa-miR-193b-3p,hsa-miR-7-5p,hsa-miR-26b-5p,hsa-miR-15a-5p,hsa-miR-19b-1-5p,hsa-miR-106b-5p,hsa-miR-132-3p,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-484,hsa-miR-16-5p,hsa-miR-223-3p,hsa-miR-23b-3p,hsa-miR-195-5p,hsa-miR-346,hsa-miR-373-3p,hsa-miR-124-3p,hsa-miR-96-5p,hsa-miR-324-5p,hsa-miR-30e-5p,hsa-miR-320a,hsa-miR-1,hsa-miR-98-5p,hsa-miR-34a-3p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-101-3p,hsa-miR-125b-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-let-7e-5p,hsa-miR-24-3p,hsa-miR-1226-3p,hsa-miR-877-3p,hsa-miR-130b-5p,hsa-miR-183-5p,hsa-miR-335-5p,hsa-miR-375,hsa-miR-760,hsa-miR-425-5p,hsa-miR-421,hsa-miR-501-5p,hsa-miR-324-3p,hsa-miR-378a-3p,hsa-miR-186-5p,hsa-miR-185-5p,hsa-miR-222-3p,hsa-miR-204-5p,hsa-miR-10a-5p,hsa-miR-30c-5p,hsa-miR-25-3p,hsa-let-7b-5p,hsa-miR-3943,hsa-miR-21-5p,hsa-miR-100-5p,hsa-miR-9-5p,hsa-miR-127-3p,hsa-let-7f-5p,hsa-miR-30a-5p,hsa-miR-200a-3p,hsa-miR-155-5p,hsa-miR-141-3p,hsa-miR-33a-5p,hsa-miR-32-5p,hsa-let-7i-5p,hsa-let-7e-3p,hsa-let-7c-5p,hsa-miR-328-3p,hsa-miR-92a-3p,hsa-miR-221-3p,hsa-miR-199a-5p,hsa-miR-218-5p,hsa-miR-151a-3p,hsa-miR-34a-5p,hsa-miR-142-3p,rno-miR-194-5p,hsa-miR-194-5p,hsa-miR-652-3p,kshv-miR-K12-1-5p,hsa-miR-30e-3p"
"Apoptosis","http://wikipathways.org/instance/WP254","3725,843,842,841,840,1147,332,7124,8743,3479,330,331,8739,6416,8738,3480,3481,8772,8837,8737,7161,572,578,5602,637,4214,581,100422899,8626,837,4193,3551,839,834,7133,207,100422832,836,5366,7132,835,5551,3002,4790,4793,4792,4609,4794,3662,3661,8517,4049,3660,5970,317,1029,665,666,3070,7187,56616,7186,27113,8795,3659,9169,10018,7185,8717,8718,596,599,598,329,7157,4170,27242,355,1676,54205,1677,407024,356,407021,407025,3663,5295,3664,3665","100422899,100422899,100422832,100422832,407024,407025","hsa-mir-3190,hsa-mir-3191,hsa-mir-3190,hsa-mir-3191,hsa-mir-29b-1,hsa-mir-29b-2","hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-miR-29c-3p,hsa-miR-101-3p,hsa-miR-26b-5p,hsa-miR-342-3p,hsa-miR-149-5p,hsa-miR-93-5p,hsa-miR-133a-3p,hsa-let-7a-5p,hsa-miR-193b-3p,hsa-miR-7-5p,hsa-miR-19b-1-5p,hsa-miR-106b-5p,hsa-miR-132-3p,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-484,hsa-miR-223-3p,hsa-miR-23b-3p,hsa-miR-195-5p,hsa-miR-203a,hsa-miR-542-3p,hsa-miR-335-5p,hsa-miR-425-5p,hsa-miR-10a-5p,hsa-miR-1301-3p,hsa-miR-1226-3p,hsa-miR-30c-5p,hsa-let-7b-5p,hsa-miR-222-3p,hsa-miR-221-3p,hsa-miR-98-5p,hsa-miR-27a-3p,hsa-miR-34a-5p,hsa-miR-375,hsa-miR-34a-3p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-96-5p,hsa-miR-125b-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-let-7e-5p,hsa-miR-15b-5p,hsa-miR-100-5p,hsa-miR-99a-5p,hsa-miR-133b,hsa-miR-145-5p,hsa-miR-138-5p,hsa-miR-194-5p,hsa-miR-497-5p,hsa-miR-152-3p,hsa-miR-139-5p,hsa-miR-376c-3p,hsa-miR-376a-3p,hsa-miR-383-5p,hsa-miR-183-5p,hsa-miR-196a-5p,hsa-let-7d-5p,hsa-miR-320a,hsa-miR-92a-3p,hsa-miR-150-5p,hsa-miR-615-5p,hsa-miR-877-5p,hsa-miR-146a-5p,hsa-miR-1,hsa-miR-346,hsa-miR-26a-5p,hsa-miR-193a-5p,hsa-miR-205-5p,hsa-miR-330-5p,hsa-miR-125a-5p,hsa-miR-21-5p,hsa-miR-423-3p,hsa-let-7g-5p,hsa-miR-504-5p,hsa-miR-148b-3p,hsa-miR-365a-3p,hsa-miR-124-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-143-3p,hsa-miR-18b-5p,hsa-miR-605-5p,hsa-miR-3929,hsa-miR-199a-5p,hsa-miR-218-5p,hsa-miR-151a-3p,hsa-miR-185-5p,hsa-miR-149-3p,hsa-miR-451a,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302c-3p,hsa-miR-302d-3p,hsa-miR-30d-5p,hsa-miR-128-3p,hsa-miR-186-5p,hsa-let-7f-2-3p,hsa-miR-18a-3p,hsa-miR-331-3p,hsa-miR-93-3p,hsa-miR-421,hsa-miR-130b-3p,hsa-miR-9-5p,hsa-miR-146b-5p,mmu-miR-210-3p,kshv-miR-K12-1-5p,hsa-miR-30e-3p,hsa-miR-24-3p,hsa-let-7c-5p,hsa-miR-34b-5p,hsa-miR-34c-5p,hsa-miR-20a-5p,hsa-miR-34b-3p,hsa-miR-378a-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-let-7f-5p,hsa-miR-320b,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-935,hsa-miR-373-3p,hsa-miR-324-5p,hsa-miR-30e-5p,hsa-miR-10b-5p,hsa-miR-455-3p,hsa-miR-296-3p,hsa-miR-615-3p,hsa-miR-877-3p,hsa-miR-769-5p,hsa-miR-29a-3p,hsa-miR-483-3p,hsa-miR-296-5p,hsa-miR-340-5p,hsa-miR-940,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-494-3p,hsa-miR-204-5p,hsa-miR-153-3p,hsa-miR-29b-3p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-630,hsa-miR-449a,hsa-miR-136-5p,hsa-miR-148a-3p,hsa-miR-24-2-5p,hsa-miR-182-5p,hsa-miR-196b-5p,hsa-miR-103a-3p,hsa-miR-214-3p,hsa-miR-1296-5p,hsa-miR-491-5p,hsa-miR-1285-3p,hsa-miR-612,hsa-miR-608,hsa-miR-485-5p,hsa-miR-454-3p,hsa-miR-193a-3p,hsa-miR-512-5p,hsa-miR-518a-5p,hsa-miR-582-5p,hsa-miR-661,hsa-miR-876-3p,hsa-miR-892b,hsa-miR-148b-5p,hsa-miR-886-3p,hsa-miR-3679-3p,hsa-miR-320c,hsa-miR-361-5p,hsa-miR-22-3p"
"miRNA Biogenesis","http://wikipathways.org/instance/WP2338","54487,23405,29102,57510,6895,5901,100302197","","","hsa-miR-652-3p,hsa-miR-30e-3p,hsa-miR-197-3p,hsa-let-7e-5p,hsa-miR-29a-3p,hsa-miR-222-3p,hsa-miR-221-3p,hsa-let-7a-5p,hsa-let-7d-5p,hsa-let-7c-5p,ebv-miR-BART6-5p,hsa-let-7b-5p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-519a-3p,hsa-miR-374a-5p,hsa-miR-154-5p,hsa-miR-130a-3p,hsa-miR-18a-5p,hsa-miR-130b-3p,hsa-miR-425-5p,hsa-miR-29c-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-98-5p,hsa-miR-296-3p,hsa-miR-16-5p,hsa-miR-1,hsa-miR-760,hsa-miR-505-3p,hsa-miR-30d-5p,hsa-miR-30a-5p,hsa-miR-92b-3p,hsa-miR-425-3p,hsa-miR-26b-5p,hsa-miR-186-5p,hsa-miR-1250-5p,hsa-miR-744-5p,hsa-miR-31-3p,hsa-miR-22-5p,hsa-miR-615-3p,hsa-miR-500a-3p,hsa-miR-339-5p,hsa-miR-320a,hsa-miR-149-5p,hsa-miR-1260b"
"DNA Replication","http://wikipathways.org/instance/WP466","8317,5557,8318,57804,10926,5984,5985,6117,5422,10714,6119,5111,6118,29935,5427,23594,4173,4172,4175,81620,4174,23649,5424,4176,5425,5426,5981,1017,7316,5983,5982,51053,4171,7311,4998,4999,5000,55388,5001,990,23595,100996481","","","hsa-miR-192-5p,hsa-miR-215-5p,hsa-miR-101-3p,hsa-miR-615-3p,hsa-let-7a-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-let-7b-5p,hsa-miR-193b-3p,hsa-miR-34a-5p,hsa-miR-30a-5p,hsa-miR-24-3p,hsa-miR-197-3p,hsa-miR-455-3p,hsa-miR-335-5p,hsa-miR-26b-5p,hsa-miR-98-5p,hsa-miR-1,hsa-miR-339-5p,hsa-miR-1301-3p,hsa-miR-31-5p,hsa-let-7e-5p,hsa-miR-124-3p,hsa-miR-103a-3p,hsa-miR-744-5p,hsa-miR-130b-5p,hsa-miR-186-5p,hsa-miR-149-5p,hsa-miR-29a-3p,hsa-miR-18a-5p,hsa-miR-130b-3p,hsa-miR-93-5p,hsa-miR-19b-3p,hsa-miR-1226-3p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-miR-484,hsa-miR-501-3p,hsa-miR-31-3p,hsa-miR-324-3p,hsa-miR-320a,hsa-miR-183-5p,hsa-miR-93-3p,hsa-miR-99b-5p,hsa-miR-222-3p,hsa-miR-1260b,hsa-miR-1180-3p,hsa-miR-885-5p,hsa-miR-324-5p,hsa-miR-1914-5p,hsa-miR-503-5p,hsa-miR-302d-3p,hsa-miR-376a-3p,hsa-miR-155-5p,hsa-miR-361-5p,hsa-miR-23b-3p,hsa-miR-10b-5p,hsa-miR-877-5p,hsa-miR-296-3p,hsa-miR-769-3p,hsa-miR-221-3p,hsa-miR-196a-5p,hsa-miR-449b-5p,hsa-miR-449a,hsa-miR-1296-5p,hsa-miR-500a-5p,hsa-miR-423-3p,hsa-miR-320b,hsa-miR-378a-3p,hsa-miR-185-5p,hsa-let-7c-5p,hsa-miR-92b-3p,hsa-miR-122-5p,hsa-miR-505-3p,hsa-miR-100-5p,hsa-miR-148b-3p,hsa-miR-99a-5p,hsa-miR-26a-5p,hsa-miR-142-3p,hsa-miR-361-3p,hsa-miR-501-5p"
"Vitamin D Metabolism","http://wikipathways.org/instance/WP1531","1717,1593,1594,1591,7421,120227,6257,2638,6256,5741","","","hsa-miR-425-5p,hsa-miR-335-5p,hsa-miR-34a-5p,hsa-miR-1260b,hsa-miR-26b-5p,hsa-miR-31-5p,hsa-miR-16-5p,hsa-miR-125b-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-let-7a-5p,hsa-miR-27b-3p,hsa-miR-197-3p,hsa-miR-346,hsa-miR-484,hsa-miR-92a-3p,hsa-let-7b-5p,hsa-miR-423-3p"
"Hedgehog Signaling Pathway","http://wikipathways.org/instance/WP47","25942,6469,2735,50846,51684,10284,2736,5727,2737,156,3549,6608,8643,27148,406,374654","","","hsa-miR-155-5p,hsa-miR-1,hsa-miR-455-3p,hsa-miR-93-3p,hsa-miR-92b-3p,hsa-miR-92a-3p,hsa-miR-335-5p,hsa-miR-326,hsa-miR-125b-5p,hsa-miR-324-5p,hsa-miR-378a-3p,hsa-miR-378a-5p,hsa-miR-877-5p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-196a-5p,hsa-miR-26b-5p,hsa-miR-31-5p,hsa-miR-212-3p,hsa-miR-1301-3p,hsa-miR-148b-3p,hsa-miR-93-5p,hsa-miR-338-3p,hsa-miR-331-3p,hsa-miR-124-3p,hsa-miR-494-3p,hsa-miR-142-3p,hsa-miR-342-5p"
"Cytokines and Inflammatory Response","http://wikipathways.org/instance/WP530","1437,920,1435,2919,3562,7124,3600,100507709,7040,3458,3456,1440,3553,3558,3593,3596,5154,3574,2920,3552,100507714,3565,3567,3586,3569,3123,3122,3589","","","hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-148b-3p,hsa-miR-335-5p,hsa-miR-505-3p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-124-3p,hsa-miR-1,hsa-miR-26b-5p,hsa-miR-203a,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-633,hsa-miR-24-3p,hsa-miR-21-5p,hsa-miR-744-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-29b-3p,hsa-miR-409-3p,hsa-let-7b-5p,hsa-miR-26a-5p,hsa-miR-145-5p,hsa-miR-34a-5p,hsa-miR-204-5p,hsa-miR-181c-5p,hsa-miR-484,hsa-let-7d-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-let-7f-5p,hsa-miR-98-5p,hsa-miR-191-5p,hsa-miR-454-5p,hsa-miR-106a-5p,hsa-let-7a-5p,hsa-miR-365a-3p,hsa-miR-155-5p,hsa-miR-211-5p,hsa-miR-379-5p"
"Mesodermal Commitment Pathway","http://wikipathways.org/instance/WP2857","494324,6657,6722,100423031,9241,8928,2253,3624,6169,8320,2296,8322,8463,8325,51176,6615,6926,406933,89780,406983,22943,57669,7403,3717,2260,28514,9113,8312,8313,4088,29072,4089,9314,4838,4086,64321,4087,7003,2132,2131,9573,8091,7473,8646,5515,5460,442895,268,10637,406911,4780,7044,4091,659,10413,83881,7855,657,9421,84667,83439,93,92,90,5566,2303,652,57045,655,442917,442918,23499,6899,79923,5573,6911,3064","100423031,406933,442895,406911,442917,442918","hsa-mir-4321,hsa-mir-141,hsa-mir-302c,hsa-mir-125b-1,hsa-mir-372,hsa-mir-373","hsa-miR-145-5p,hsa-miR-126-3p,hsa-miR-522-3p,hsa-miR-34c-5p,hsa-miR-34a-5p,hsa-miR-34b-3p,hsa-miR-140-5p,hsa-miR-429,hsa-miR-128-3p,hsa-miR-122-5p,hsa-miR-21-5p,hsa-miR-1,hsa-miR-26b-5p,hsa-miR-18a-3p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-331-3p,hsa-miR-320a,hsa-miR-92a-3p,hsa-miR-335-5p,hsa-miR-148b-3p,hsa-miR-31-3p,hsa-miR-10b-5p,hsa-miR-106b-5p,hsa-miR-204-5p,hsa-miR-1236-3p,hsa-miR-940,hsa-miR-877-5p,hsa-miR-193b-3p,hsa-miR-324-5p,hsa-miR-378a-3p,hsa-miR-375,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-24-3p,hsa-miR-125b-5p,hsa-miR-346,hsa-miR-374b-5p,hsa-let-7c-5p,hsa-miR-153-3p,hsa-miR-124-3p,hsa-miR-22-3p,hsa-miR-1226-3p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-132-3p,hsa-miR-181a-5p,hsa-miR-103a-3p,hsa-miR-29a-3p,hsa-miR-31-5p,hsa-miR-17-5p,hsa-miR-135a-5p,hsa-miR-195-5p,hsa-miR-424-5p,hsa-miR-133b,hsa-miR-744-5p,hsa-miR-296-3p,hsa-miR-181b-5p,hsa-miR-10a-5p,hsa-miR-320c,hsa-miR-769-3p,hsa-miR-200a-3p,hsa-miR-18a-5p,hsa-miR-155-5p,hsa-miR-26a-5p,hsa-miR-224-5p,hsa-miR-483-3p,hsa-miR-19a-3p,hsa-miR-20a-5p,hsa-miR-146a-5p,hsa-miR-199a-5p,hsa-miR-130a-3p,hsa-miR-301a-3p,hsa-miR-454-3p,hsa-miR-182-5p,hsa-miR-130b-3p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-19b-3p,hsa-miR-25-3p,hsa-miR-135b-5p,hsa-miR-107,hsa-miR-30b-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-30a-5p,hsa-miR-200b-3p,hsa-miR-652-3p,hsa-miR-98-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-let-7g-5p,hsa-let-7a-5p,hsa-miR-370-3p,hsa-miR-185-5p,hsa-miR-760,hsa-let-7f-5p,hsa-miR-1301-3p,hsa-miR-340-3p,hsa-miR-197-3p,hsa-miR-302a-3p,hsa-miR-302d-3p,hsa-miR-144-3p,hsa-miR-142-5p,hsa-miR-27a-3p,hsa-miR-106b-3p,hsa-miR-520h,hsa-miR-129-5p,hsa-miR-100-5p,hsa-miR-302c-3p,hsa-miR-181c-5p,hsa-miR-7-5p,hsa-miR-93-3p,hsa-miR-630,hsa-miR-149-5p,hsa-miR-455-3p,hsa-miR-196a-5p,hsa-miR-200c-3p,hsa-miR-141-3p,hsa-miR-194-5p,hsa-miR-140-3p,hsa-miR-101-3p,hsa-miR-148a-3p,hsa-miR-196b-5p,hsa-miR-365a-3p,hsa-miR-577,hsa-miR-342-3p,hsa-miR-615-3p,hsa-miR-125a-5p,hsa-miR-222-3p,hsa-miR-1180-3p,hsa-miR-181a-3p,hsa-miR-1296-5p,hsa-miR-96-5p,hsa-miR-421"
"Benzo(a)pyrene metabolism","http://wikipathways.org/instance/WP696","8644,1109,2052,1646,101060798,1645,10327,1543,1545,1576","","","hsa-miR-155-5p,hsa-miR-98-5p,hsa-miR-193b-3p,hsa-miR-26b-5p,hsa-miR-34a-5p,hsa-let-7b-5p,hsa-miR-186-5p,hsa-miR-296-3p,hsa-miR-124-3p,hsa-miR-27b-3p,hsa-miR-340-5p,hsa-miR-221-3p"
"Angiogenesis","http://wikipathways.org/instance/WP1539","5747,6714,4846,5155,1432,5156,4318,7010,3091,2321,2263,3791,207,284,5290,405,5335,7422,2247,1387,7077,7078,4086,5594","","","hsa-miR-138-5p,hsa-miR-193a-3p,hsa-miR-7-5p,hsa-miR-21-5p,hsa-let-7e-5p,hsa-let-7c-5p,hsa-miR-23b-3p,hsa-miR-33a-5p,hsa-miR-205-5p,hsa-miR-155-5p,hsa-miR-335-5p,hsa-miR-146b-3p,hsa-miR-26b-5p,hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-124-3p,hsa-miR-24-3p,hsa-miR-125b-5p,hsa-let-7b-5p,hsa-miR-140-5p,hsa-miR-34a-5p,hsa-miR-451a,hsa-miR-338-3p,hsa-miR-126-3p,hsa-miR-20a-5p,hsa-miR-519c-3p,hsa-miR-20b-5p,hsa-miR-107,hsa-miR-18a-5p,hsa-miR-424-5p,hsa-miR-199b-5p,hsa-miR-106b-3p,hsa-miR-200b-3p,hsa-miR-100-5p,hsa-miR-200c-3p,hsa-miR-19b-1-5p,hsa-miR-1,hsa-miR-186-5p,hsa-miR-185-5p,hsa-miR-149-3p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302c-3p,hsa-miR-302d-3p,hsa-miR-143-3p,hsa-miR-193b-3p,hsa-miR-148b-3p,hsa-miR-17-5p,hsa-miR-877-3p,hsa-miR-324-5p,hsa-miR-1914-3p,hsa-miR-744-3p,hsa-miR-92a-3p,hsa-miR-373-3p,hsa-miR-145-5p,hsa-miR-147a,hsa-miR-134-5p,hsa-miR-29b-3p,hsa-miR-16-5p,hsa-miR-93-5p,hsa-miR-150-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-520g-3p,hsa-miR-378a-3p,hsa-miR-330-3p,hsa-miR-383-5p,hsa-miR-125a-5p,hsa-miR-361-5p,hsa-miR-504-5p,hsa-miR-520h,hsa-miR-372-3p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-34b-3p,hsa-miR-503-5p,hsa-miR-29c-3p,hsa-miR-9-5p,hsa-miR-133a-3p,hsa-miR-101-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-103a-3p,hsa-miR-32-5p,hsa-miR-324-3p,hsa-miR-1301-3p,hsa-miR-935,hsa-miR-769-5p,hsa-miR-519d-3p,hsa-miR-181b-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-423-5p,hsa-miR-30c-2-3p,hsa-miR-18b-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-30a-5p,hsa-miR-26a-5p,hsa-miR-30b-5p,hsa-miR-28-5p,hsa-miR-199a-3p,hsa-miR-320a,hsa-miR-766-3p,hsa-miR-92b-3p"
"Iron metabolism in placenta","http://wikipathways.org/instance/WP2007","4891,48,55240,2495,7036,7037,3658,30061,7018,341208,57817,57192","","","hsa-let-7d-5p,hsa-miR-374b-5p,hsa-miR-484,hsa-miR-423-3p,hsa-miR-122-5p,hsa-miR-218-5p,hsa-miR-24-3p,hsa-miR-16-5p,hsa-miR-98-5p,hsa-miR-92a-3p,hsa-let-7b-5p,hsa-miR-26b-5p,hsa-miR-941,hsa-miR-17-5p,hsa-miR-320a,hsa-miR-22-3p,hsa-miR-200a-3p,hsa-miR-34a-5p,hsa-miR-769-5p,hsa-miR-125a-5p,hsa-miR-9-5p,hsa-miR-21-5p,hsa-miR-615-3p,hsa-miR-335-5p"
