miRBase ID(s)	EntrezGene ID
hsa-mir-1283-1	100302265
hsa-mir-1273d	100422970
	84436
hsa-mir-6769b	102466202
	100873764
	401288
hsa-mir-194-1	406969
hsa-mir-563	693148
	29965
hsa-mir-500a	574502
	100033811
	22997
	6085
hsa-mir-664b	100847052
hsa-mir-3147	100422939
hsa-mir-4775	100616361
hsa-mir-6723	102465432
hsa-mir-570	693155
	692058
	66002
hsa-mir-3689d-2	100616344
hsa-mir-3668	100500879
	51157
hsa-mir-4308	100422984
hsa-mir-4471	100616451
hsa-mir-3941	100500866
hsa-mir-3166	100423040
hsa-mir-8070	102465870
hsa-mir-5692a-1	100847066
hsa-mir-8063	102466875
hsa-mir-1302-5	100302146
hsa-mir-3929	100500864
	105375009
	148229
hsa-mir-548av	100847083
hsa-mir-4686	100616126
hsa-mir-548h-3	100302287
hsa-mir-6720	102466720
hsa-mir-153-1	406944
hsa-mir-1972-1	100302243
hsa-mir-1972-2	100302243
hsa-mir-5701-1	100847060
hsa-mir-5701-2	100847060
hsa-mir-5701-3	100847060
hsa-mir-6074	102464827
hsa-mir-6800	102465480
	51081
hsa-mir-640	693225
	100873776
hsa-mir-5090	100847073
hsa-mir-6080	102464831
hsa-mir-5191	100847050
	100033422
hsa-mir-639	693224
	101954277
hsa-mir-3164	100422846
	26863
hsa-mir-4447	100616485
hsa-mir-1233-1	100302160
hsa-mir-1233-2	100302160
hsa-mir-3202-1	100422877
hsa-mir-3202-1	100422987
hsa-mir-3202-2	100422877
hsa-mir-3202-2	100422987
hsa-mir-526a-2	574486
hsa-mir-3152	100422869
hsa-mir-4491	100616330
	26781
hsa-mir-329-2	574409
	442191
hsa-mir-301b	100126318
hsa-mir-4666a	100616308
hsa-mir-4642	100616352
	3108
hsa-mir-6867	102465523
hsa-mir-802	768219
hsa-mir-575	693160
	262
hsa-mir-1273e	100526648
	85391
hsa-mir-6511a-1	102466812
hsa-mir-6511a-2	102466812
hsa-mir-6511a-3	102466812
hsa-mir-6511a-4	102466812
hsa-mir-2115	100313840
hsa-mir-4671	100616380
hsa-mir-5681a	100847058
	767588
hsa-mir-4417	100616489
hsa-mir-129-1	406917
hsa-mir-4304	100422931
hsa-mir-30b	407030
hsa-mir-134	406924
	101928834
	100506033
hsa-mir-5187	100847090
hsa-mir-181a-2	406954
hsa-mir-6501	102465248
	6905
	26871
	5449
hsa-mir-519e	574463
	7181
hsa-mir-3155a	100422989
hsa-mir-4730	100616359
hsa-mir-6509	102465254
hsa-mir-518a-1	574488
hsa-mir-7976	102465857
hsa-mir-626	693211
hsa-mir-642a	693227
hsa-mir-5704	100847040
hsa-mir-4484	100616327
	5800
hsa-mir-548e	100313921
hsa-mir-1972-1	100422922
hsa-mir-1972-2	100422922
hsa-mir-942	100126331
	102723655
hsa-mir-16-1	406950
hsa-mir-1250	100302229
	104798195
hsa-mir-548ay	102465247
hsa-mir-4456	100616381
hsa-mir-7150	102465688
hsa-mir-100	406892
hsa-mir-3692	100500899
	619565
hsa-mir-195	406971
	338428
	101954271
hsa-mir-4306	100422861
hsa-mir-4300	100422823
hsa-mir-7974	102465856
hsa-mir-6504	102465251
	84081
	100302743
	677801
hsa-mir-6839	102465505
hsa-mir-1228	100302201
hsa-mir-6750	102466192
	5550
	677834
	29058
hsa-mir-3917	100500808
hsa-mir-520e	574461
	59067
hsa-mir-6775	102465464
	619499
hsa-mir-345	442910
hsa-mir-765	768220
hsa-mir-4450	100616299
	100169755
hsa-mir-4794	100616338
hsa-mir-7845	102465835
hsa-mir-548h-4	100313884
	100169751
	25804
hsa-mir-5001	100847037
hsa-mir-6850	102465978
	770
hsa-mir-766	768218
hsa-mir-4657	100616393
hsa-mir-4669	100616236
hsa-mir-5088	100847074
	677775
hsa-mir-194-2	406970
	100287177
	55726
	493856
	644890
	53841
	654502
	51174
	55731
	2744
hsa-mir-4645	100616285
	26778
hsa-mir-30a	407029
	767561
hsa-mir-4677	100616343
hsa-mir-4462	100616413
	692158
	677763
	26784
hsa-mir-4473	100616229
hsa-mir-606	693191
hsa-mir-1827	100302217
hsa-mir-6820	102465492
	51428
	677808
	91380
hsa-mir-124-3	406909
	3439
	677831
hsa-mir-613	693198
hsa-mir-6862-1	102465520
hsa-mir-6862-2	102465520
	100169767
hsa-mir-6780a	102466195
	100873768
	5696
hsa-mir-4466	100616154
hsa-mir-425	494337
	677798
hsa-mir-5680	100847001
	677885
	83483
hsa-mir-4672	100616429
hsa-mir-520b	574473
hsa-mir-6724-1	103504733
hsa-mir-6724-2	103504733
hsa-mir-6724-3	103504733
hsa-mir-6724-4	103504733
	100124539
	100033417
hsa-mir-3973	100616311
hsa-mir-6766	102466983
hsa-mir-1324	100302212
	25763
	692210
	727676
hsa-mir-554	693139
	5431
hsa-mir-3686	100500839
hsa-mir-548ab	100616336
	100873747
hsa-mir-4726	100616153
	4691
hsa-mir-588	693173
hsa-mir-548i-3	100302186
hsa-mir-548f-4	100313895
hsa-mir-183	406959
hsa-mir-6795	102465476
hsa-mir-95	407052
	387787
hsa-mir-4494	100616478
hsa-mir-99a	407055
hsa-mir-218-2	407001
	26829
hsa-mir-934	100126324
	684959
	5589
hsa-mir-569	693154
hsa-mir-545	664614
	767599
hsa-mir-4421	100616189
	642477
hsa-mir-302c	442895
	26766
hsa-mir-548ao	100847068
hsa-mir-644a	693229
hsa-mir-302a	407028
	5649
hsa-mir-219a-2	407003
hsa-mir-219a-2	100616335
hsa-mir-219b	407003
hsa-mir-219b	100616335
	692229
hsa-mir-648	693233
hsa-mir-105-1	406897
hsa-mir-6719	102465974
	391365
hsa-mir-6821	102465493
hsa-mir-6715a	102465427
hsa-mir-6715a	102466189
hsa-mir-6715b	102465427
hsa-mir-6715b	102466189
hsa-mir-5685	100847075
hsa-mir-34a	407040
hsa-mir-6513	102465256
	145258
hsa-mir-3612	100500817
hsa-mir-4727	100616416
hsa-mir-4274	100422826
hsa-mir-6749	102466727
hsa-mir-555	693140
hsa-mir-624	693209
	26815
	10482
hsa-mir-611	693196
hsa-mir-3620	100500810
	147798
	81559
hsa-mir-567	693152
hsa-mir-4534	100616146
hsa-mir-4792	100616448
hsa-mir-514a-2	574518
hsa-mir-514a-3	574518
	26811
hsa-mir-6748	102465448
hsa-mir-4487	100616222
hsa-mir-6511a-1	102465684
hsa-mir-6511a-2	102465684
hsa-mir-6511a-3	102465684
hsa-mir-6511a-4	102465684
hsa-mir-3689f	100616212
	100033435
hsa-mir-196b	442920
	100169762
hsa-mir-125a	406910
	100033445
hsa-mir-4505	100616158
hsa-mir-4530	100616163
	692214
hsa-mir-548i-2	100302277
hsa-mir-2277	100313887
hsa-mir-32	407036
	8835
hsa-mir-4633	100616175
	677802
hsa-mir-4269	100423043
hsa-mir-548v	100422850
	80736
hsa-mir-8073	102465872
hsa-mir-4778	100616464
hsa-mir-6762	102465457
	26787
hsa-mir-646	693231
hsa-mir-5591	100847065
hsa-mir-154	406946
hsa-mir-6736	102466191
hsa-mir-3935	100500891
	100033458
hsa-mir-8071-1	102466889
hsa-mir-8071-2	102466889
	100337591
hsa-mir-1252	100302136
hsa-mir-502	574504
hsa-mir-4638	100616342
	26869
hsa-mir-579	693164
hsa-mir-6753	102465451
hsa-mir-4769	100616147
	84288
hsa-mir-503	574506
hsa-mir-29b-1	407024
hsa-mir-764	100313838
hsa-mir-5093	100847022
hsa-mir-4520-1	100616401
hsa-mir-3139	100423017
hsa-mir-6877	102465528
hsa-mir-5682	100847043
hsa-mir-8075	102465874
	84561
	101954269
hsa-mir-661	724031
hsa-mir-6726	102465434
hsa-mir-3927	100500898
hsa-mir-20b	574032
	692111
hsa-mir-509-2	100126301
	403
	9303
hsa-mir-4509-1	100616223
hsa-mir-4509-2	100616223
hsa-mir-4509-3	100616223
	100169765
	55344
hsa-mir-1226	100302232
hsa-mir-4784	100616378
hsa-mir-4277	100422966
	26805
hsa-mir-516a-2	574499
hsa-mir-4493	100616319
	100873781
	80816
	8496
hsa-mir-6757	102466193
hsa-mir-4719	100616172
hsa-mir-3942	100500904
hsa-mir-3689a	100500846
	5460
hsa-mir-5699	100847086
hsa-mir-3921	100500859
	100033447
	677824
hsa-mir-8056	102465862
hsa-mir-7851	102467003
hsa-mir-3180-1	100422836
hsa-mir-3180-2	100422836
hsa-mir-3180-3	100422836
	100033414
hsa-mir-8079	102465876
hsa-mir-6895	102465539
	26804
hsa-mir-548ag-1	100616450
hsa-mir-3134	100422990
	100873769
hsa-mir-3123	100422856
hsa-mir-3666	100500896
hsa-mir-4771-1	100616165
hsa-mir-4771-2	100616165
hsa-mir-8087	102465881
hsa-mir-383	494332
hsa-mir-4452	100616463
	677778
	677839
hsa-mir-520d	574482
hsa-mir-645	693230
hsa-mir-1302-2	100302278
hsa-mir-1302-9	100302278
hsa-mir-1302-10	100302278
hsa-mir-1302-11	100302278
hsa-mir-5688	100847077
	26828
	100873749
hsa-mir-3939	100500857
	767598
hsa-mir-3159	100423016
	3120
hsa-mir-5195	100847062
hsa-mir-2110	100302224
hsa-mir-7160	102465695
hsa-mir-922	100126321
hsa-mir-5011	100847002
hsa-mir-4502	100616227
hsa-mir-6814	102465488
hsa-mir-6134	102465140
	6300
	100873772
hsa-mir-6829	102465977
	23593
hsa-mir-6743	102465445
	126536
hsa-mir-5188	100847004
	100873762
	100113380
	116937
hsa-mir-8077	102465875
	692108
	100128420
	26809
hsa-mir-3978	100616491
hsa-mir-19b-2	406981
hsa-mir-888	100126306
	100033816
hsa-mir-5692b	100847013
	146909
	677843
hsa-mir-29b-2	407025
	100873782
	56664
hsa-mir-1323	100302255
hsa-mir-548a-3	693127
	677829
	11283
hsa-mir-633	693218
hsa-mir-21	406991
hsa-mir-6779	102465467
	26795
hsa-mir-26a-1	407015
hsa-mir-6165	102465141
hsa-mir-4295	100422909
hsa-mir-6797	102465478
hsa-mir-6072	102465944
hsa-mir-876	100126310
hsa-mir-548ax	100847063
hsa-mir-4472-2	100616309
hsa-mir-770	768222
hsa-mir-10b	406903
hsa-mir-1915	100302129
	3818
hsa-mir-3924	100500834
hsa-mir-1278	100302163
hsa-mir-649	693234
hsa-mir-4722	100616167
hsa-mir-3180-5	100500916
hsa-mir-3911	100500872
hsa-mir-7973-1	102465855
hsa-mir-7973-1	102466250
hsa-mir-7973-2	102465855
hsa-mir-7973-2	102466250
hsa-mir-4725	100616449
hsa-mir-892a	100126342
hsa-mir-601	693186
	343637
hsa-mir-6085	102464834
hsa-mir-5585	100847018
hsa-mir-548y	100500919
	3445
hsa-mir-323b	574410
hsa-mir-1257	100302168
	100169756
hsa-mir-4522	100616277
	150472
	220869
	644019
	100033456
	9302
	10564
	100033812
	677792
hsa-mir-4470	100616484
	692093
hsa-mir-548i-4	100302191
hsa-mir-3135a	100422901
	100033817
hsa-mir-518f	574472
hsa-mir-4737	100616210
hsa-mir-6891	102465537
hsa-mir-3680-1	100847041
hsa-mir-3680-2	100847041
hsa-mir-4703	100616423
hsa-mir-4509-1	100616382
hsa-mir-4509-2	100616382
hsa-mir-4509-3	100616382
hsa-mir-655	724025
hsa-mir-4477a	100616194
hsa-mir-4477b	100616194
	100113379
hsa-mir-622	693207
	677827
	677681
	58486
	100124535
	105370306
hsa-mir-1288	100302124
	26827
hsa-mir-3182	100422853
	692202
	100507144
	6655
hsa-mir-759	100313778
	5535
hsa-mir-4687	100616453
	3812
hsa-mir-1913	100302141
hsa-mir-4476	100616456
hsa-mir-8052	102466873
hsa-mir-4435-1	100616499
hsa-mir-4435-2	100616499
	390264
	26780
hsa-mir-4290	100422963
	8353
hsa-mir-6803	102466739
	11007
