"entrez","wpids"
"102465524","WP1471, WP2377, WP2431, WP536, WP560"
"102465532","WP3298, WP3594, WP410"
"102465534","WP15, WP1533, WP176, WP1982, WP2011, WP2374, WP2846, WP3408, WP3601, WP399, WP428, WP430, WP710"
"102465669","WP111, WP623"
"102465801","WP183"
"102465803","WP35"
"102465836","WP1772, WP231, WP254, WP3941, WP3945, WP453"
"102465879","WP2864, WP3611"
"102465978","WP477"
"102466190","WP325"
"102466730","WP1982"
"102466733","WP176, WP241, WP2525, WP3940"
"102466740","WP1544, WP2038, WP2064, WP236, WP268, WP363, WP3680, WP3931, WP3939, WP399, WP428, WP710"
"102466749","WP411"
"102466806","WP2363, WP314"
"102466854","WP107, WP2853"
"102466985","WP69"
"10249","WP521, WP702"
"1025","WP1544, WP22, WP2795, WP3414"
"10250","WP411"
"10253","WP2261, WP2858, WP437"
"10254","WP437"
"10257","WP1601, WP2289, WP2858, WP2884, WP3612, WP3945"
"1026","WP138, WP1403, WP1530, WP1545, WP1742, WP179, WP1971, WP2261, WP236, WP2377, WP2446, WP2516, WP2572, WP2586, WP2828, WP2864, WP3596, WP3611, WP3646, WP366, WP3672, WP3680, WP3932, WP3941, WP45, WP61, WP615, WP673, WP707, WP710"
"10261","WP3945"
"10262","WP411"
"10265","WP3407, WP3527"
"10266","WP289"
"10267","WP2197, WP289"
"10268","WP289"
"10269","WP236"
"1027","WP1530, WP1545, WP179, WP1971, WP2032, WP205, WP2261, WP2374, WP2377, WP2431, WP2446, WP2572, WP2586, WP2864, WP2873, WP34, WP3640, WP3680, WP3844, WP3932, WP3938, WP3941, WP45, WP615, WP673, WP707, WP710"
"10270","WP35"
"102723167","WP1992"
"102723788","WP1602, WP706"
"102724023","WP2361"
"102724197","WP100, WP15, WP167, WP2884"
"102724594","WP411"
"102725035","WP2431"
"10273","WP138, WP2359"
"10276","WP2864"
"1028","WP2572, WP2855, WP3941, WP45, WP474"
"102800317","WP3298, WP3594, WP363, WP399, WP428"
"10284","WP47"
"10287","WP289, WP536"
"10288","WP2431"
"1029","WP1742, WP1772, WP179, WP2261, WP254, WP2828, WP3611, WP3959, WP45, WP615, WP710"
"10291","WP411"
"10297","WP51"
"10298","WP185, WP306, WP51, WP673"
"1030","WP1971, WP2261, WP2377, WP366, WP45"
"1031","WP2261, WP45"
"10312","WP3945"
"10316","WP455"
"10317","WP1424"
"10318","WP3303"
"10319","WP306, WP3932"
"1032","WP45"
"10320","WP2849, WP3892"
"10322","WP2369"
"10325","WP1471"
"10327","WP696, WP702"
"10333","WP1449, WP3858, WP3877, WP75"
"10344","WP3929"
"1036","WP3940"
"10365","WP3297, WP3946"
"10368","WP2118"
"10369","WP2118"
"10376","WP2272, WP2328, WP2359"
"10379","WP2113, WP585, WP619"
"10381","WP2272, WP2359, WP410"
"10382","WP2272, WP2359"
"10383","WP2272, WP2359"
"10390","WP2533, WP3933, WP3940"
"103910","WP2032"
"10392","WP1433"
"10396","WP24"
"10397","WP3888"
"10398","WP383"
"10399","WP138, WP2380, WP3888, WP585"
"10400","WP2533, WP3933, WP3940, WP528"
"10401","WP138, WP2037, WP2332, WP2374, WP437, WP585"
"10411","WP2355, WP2377"
"10413","WP2857, WP3303, WP366, WP3959"
"10419","WP3594"
"10420","WP2038, WP306"
"10421","WP411"
"10423","WP2533"
"10427","WP1982"
"10449","WP357"
"1045","WP3527"
"10451","WP185, WP2380, WP2853, WP2857, WP2864, WP3929, WP3937, WP437, WP69"
"10452","WP2447"
"10454","WP1449, WP1544, WP195, WP1984, WP2018, WP231, WP2637, WP366, WP382, WP3851, WP75"
"10458","WP51"
"10459","WP179, WP2853"
"10463","WP3529"
"10468","WP2377, WP2848, WP560"
"10476","WP111, WP623"
"10482","WP411"
"10483","WP1982"
"10484","WP1982"
"10486","WP2858, WP2873"
"10487","WP3915, WP481"
"10488","WP289, WP3932, WP45"
"104909134","WP2355, WP289, WP334"
"10497","WP2267, WP727"
"10498","WP138"
"10499","WP138, WP2355, WP236, WP2875, WP3594"
"1050","WP236, WP2895, WP3599, WP3651, WP3946, WP395"
"1051","WP1589, WP2112, WP236, WP2374, WP2895, WP3, WP34, WP3599, WP3624, WP3946, WP395, WP410, WP615, WP706"
"10514","WP3594"
"1052","WP2112, WP236, WP3584, WP3599, WP3946"
"10521","WP3865"
"10522","WP706"
"10524","WP138, WP3878, WP3959"
"10533","WP2509, WP615"
"105369230","WP2328, WP530"
"105369239","WP3612"
"105369243","WP692, WP702"
"1054","WP2895"
"10549","WP15"
"10552","WP2272"
"10554","WP325"
"10555","WP236, WP2377, WP325"
"10557","WP1984"
"10558","WP1422"
"10563","WP2328, WP3929"
"10566","WP35"
"10577","WP3945"
"10578","WP2328"
"10580","WP185, WP3942, WP481"
"10587","WP15, WP28, WP408"
"10588","WP176, WP241"
"10592","WP2446"
"10594","WP411"
"10598","WP3863"
"10599","WP1604, WP2289, WP229"
"10600","WP1984"
"10603","WP2380, WP304, WP481"
"10605","WP107"
"10610","WP1424"
"10614","WP3414"
"10616","WP1449"
"10617","WP437"
"10628","WP3888"
"1063","WP2361"
"10631","WP3668, WP3678"
"10632","WP111, WP623"
"10634","WP2858"
"10636","WP289, WP536"
"10637","WP2029, WP2377, WP2848, WP2857, WP560"
"10642","WP2380, WP3302"
"10645","WP1403, WP3888"
"10654","WP197"
"10657","WP2034"
"10658","WP236, WP411"
"10659","WP411"
"1066","WP136, WP1601, WP229, WP2884, WP3612"
"10661","WP2849"
"106614088","WP2866"
"10663","WP24, WP3929"
"10664","WP3584, WP706"
"10670","WP1471"
"10672","WP2032, WP35, WP51, WP524"
"10673","WP2431"
"10681","WP2197, WP2355, WP289, WP35, WP3929, WP536"
"106821730","WP138, WP185, WP306, WP51"
"10683","WP2064, WP268, WP3413, WP3845, WP61"
"10690","WP1424"
"10692","WP455"
"10699","WP289"
"107","WP2636, WP289, WP35, WP3594, WP3676, WP3929, WP536"
"107075116","WP3298"
"1071","WP3601, WP430"
"10714","WP186, WP2446, WP466"
"10718","WP673"
"1072","WP2380, WP3888, WP437, WP51, WP524"
"10720","WP698, WP702"
"10728","WP2873"
"1073","WP2034, WP2038, WP51, WP524"
"10733","WP2446"
"10743","WP3594"
"10744","WP179"
"10746","WP195, WP2380, WP382, WP3915, WP422, WP437, WP481"
"10747","WP545, WP558"
"10753","WP185"
"10755","WP3888"
"10758","WP2112"
"10766","WP1425"
"10768","WP2525, WP3940"
"10771","WP1449"
"10772","WP411"
"10787","WP410, WP51"
"10788","WP524"
"10797","WP176, WP241, WP2525, WP404"
"10798","WP455"
"108","WP1602, WP2032, WP289, WP35, WP3929, WP536"
"10800","WP455"
"10802","WP1982"
"10803","WP24, WP3929, WP455"
"10804","WP536"
"1081","WP1981, WP2032, WP2035"
"10811","WP1971, WP1984, WP2377"
"10814","WP2267"
"10815","WP2267"
"10817","WP2380"
"10818","WP2380, WP3888"
"10840","WP1589, WP241"
"10841","WP241, WP3925"
"10847","WP3651"
"10848","WP2377"
"10850","WP3929"
"10858","WP43, WP702"
"10864","WP1601"
"10886","WP455"
"10888","WP117, WP455"
"10890","WP3932"
"10891","WP2011, WP236, WP2875, WP2879, WP2895, WP3407, WP3594, WP3599, WP3850, WP391, WP3932, WP706"
"10892","WP23, WP3863, WP69"
