"mirtarbase","wptargets"
"mmu-miR-138-5p","WP108, WP113, WP1244, WP1254, WP1261, WP1498, WP151, WP1763, WP193, WP2075, WP2084, WP2087, WP2432, WP251, WP265, WP2872, WP2902, WP339, WP3663, WP373, WP385, WP387, WP403, WP413, WP447, WP493, WP539, WP571, WP572, WP65, WP723, WP85"
"mmu-miR-139-5p","WP10, WP1249, WP1397, WP1763, WP189, WP201, WP2067, WP2074, WP2573, WP265, WP2841, WP2852, WP2872, WP29, WP297, WP3663, WP3675, WP373, WP387, WP447, WP450, WP488, WP512, WP572, WP578, WP6, WP65"
"mmu-miR-140-3p","WP2841, WP458, WP523, WP85"
"mmu-miR-140-5p","WP113, WP1244, WP1270, WP1560, WP1763, WP2074, WP2292, WP265, WP273, WP339, WP350, WP3625, WP3675, WP3857, WP403, WP447, WP488, WP493, WP512, WP539, WP572, WP723"
"mmu-miR-141-3p","WP113, WP116, WP1244, WP1254, WP1270, WP151, WP1560, WP202, WP2074, WP251, WP2910, WP350, WP3638, WP373, WP387, WP412, WP450, WP493, WP572, WP65, WP88"
"mmu-miR-142a-3p","WP1243, WP1560, WP1763, WP2185, WP2292, WP232, WP339, WP3592, WP37, WP385, WP387, WP447, WP544, WP553, WP88"
"mmu-miR-143-3p","WP1243, WP1244, WP1246, WP1256, WP1261, WP151, WP1763, WP1770, WP193, WP2292, WP232, WP2432, WP251, WP2841, WP339, WP350, WP3675, WP37, WP373, WP385, WP387, WP403, WP435, WP450, WP493, WP512, WP523, WP539, WP553, WP571, WP572, WP65, WP723, WP730, WP85"
"mmu-miR-143-5p","WP1763, WP339, WP403, WP435, WP523, WP539, WP723, WP730"
"mmu-miR-144-3p","WP1, WP1243, WP1270, WP1496, WP1763, WP193, WP246, WP2841, WP2902, WP310, WP339, WP3592, WP3675, WP37, WP407, WP431, WP493, WP65, WP683, WP85, WP88"
"mmu-miR-145a-5p","WP10, WP1246, WP1249, WP1270, WP1498, WP151, WP1560, WP1763, WP2074, WP2087, WP2292, WP232, WP2432, WP251, WP273, WP2841, WP2872, WP2902, WP297, WP3675, WP373, WP385, WP3855, WP387, WP3979, WP403, WP413, WP447, WP450, WP488, WP493, WP509, WP512, WP523, WP539, WP553, WP572, WP578, WP65, WP723, WP85"
"mmu-miR-146a-3p","WP113, WP1243, WP1261, WP1496, WP1560, WP1763, WP201, WP2067, WP2074, WP246, WP2573, WP265, WP2852, WP29, WP310, WP3592, WP3663, WP37, WP385, WP493, WP512, WP539, WP553, WP572, WP88"
