"mirtarbase","hits"
"mmu-miR-1191a","270757, 241688, 241688, 241688, 241688, 241688, 22061, 94253, 94253, 74252, 216613, 212632, 13612, 241627, 12326, 319996, 11891"
"mmu-miR-1191b-3p","11854"
"mmu-miR-1192","208292, 70227, 83561, 20656, 328505, 11837, 70238, 228413, 228413, 228413, 228413, 381832, 66522, 18641, 93888, 103468, 93697, 57890, 15432, 78816, 408191, 381438, 14460, 234728, 70681, 13560, 98303, 21771, 64918, 207819, 22771, 20402, 53330, 78787, 70892, 24086, 21808, 20965, 240726, 20541, 215085, 56726, 74442, 74442, 29871, 107767, 107767, 56437, 74132, 223332, 243382, 241075, 109785, 18441, 
246086, 225631, 18162, 67991, 70122, 17260, 66999, 74549, 67144, 210126, 69605, 69605, 268481, 16653, 16562, 78908, 68693, 56637, 14738, 14368, 320267, 320267, 226151, 22350, 13807, 15568, 66967, 208922, 208922, 94218, 12661, 239368, 70508, 102098, 99889, 66787, 215693, 21414, 56643, 56643, 231290, 50721, 97761, 69288, 50907, 72129, 72129, 216856, 216856, 321019, 277463, 14674, 545758, 432870, 
56219, 13844, 97998, 241944, 226139, 12663, 12572, 12572, 70405, 328561, 235386, 22754, 22418, 327900, 320538, 140630, 320165, 114741, 20817, 20269, 58198, 66878, 319817, 19270, 18792, 18191, 17967, 17967, 17758, 70417, 330171, 227195, 70823, 245596, 12950, 56809, 56809, 114142, 14084, 14084, 227357, 63953, 70640, 77996, 319478, 75717, 67886, 19777, 76809, 117606, 666938, 68724, 320438, 211488, 
211488, 23794, 104732, 104732, 218850, 218850, 225187, 233724, 56086, 18295, 12576, 71807, 319508, 270066, 68549, 20272, 209027, 56193, 69367, 14182, 213499, 407800, 11540, 171168, 212448, 170756, 20230, 67630, 16475, 213056, 11552, 53902, 240064, 170742, 52202, 108099, 18793, 110920, 12633, 20308, 75729, 66356, 320213, 230125, 68304, 68184, 57434, 192200, 214899, 665622, 665596, 245650, 114565, 
68524, 21780, 66101, 192654, 78651, 269473, 75763"
"mmu-miR-1193-3p","58217, 58217, 19735, 73656, 628308, 67727"
"mmu-miR-1193-5p","18174, 72978, 216393, 217705, 241075"
"mmu-miR-1194","57775, 23894, 23894, 13709, 268741, 268741, 27965, 18559, 18559, 18559, 15042, 15042, 330577, 237542, 237542, 217303, 217303, 67168, 50786, 210801, 231986, 319565, 216119, 386612, 57782, 66164, 50877, 16443, 14593, 14464, 213573, 99311, 12267, 65246, 69104, 50768, 22035, 320587, 381199, 21331, 246086, 76789, 56078, 70484, 228852, 319504"
"mmu-miR-1195","21453, 72195, 72195, 20349, 72462, 72462, 237823, 110385, 110385, 17082, 17082, 223658, 14387, 14387, 69072, 69072, 269952, 269952, 17064, 17064, 67255, 98766, 98766, 72821, 72821, 68098, 13709, 23827, 23827, 338354, 338354, 269870, 269870, 209032, 57434, 57434, 22324, 22324, 264134, 264134, 72133, 72133, 22017, 22017, 268741, 268741, 21933, 234076, 57246, 57246, 27965, 17254, 170756, 27050, 
108841, 108841, 69870, 69870, 69870, 67968, 67968, 234404, 217365, 217365, 69721, 69721, 69721, 18100, 18100, 16591, 52150, 52150, 16513, 16513, 54396, 15042, 15042, 269604, 269604, 14699, 14699, 14583, 14583, 14562, 14562, 217705, 217705, 213573, 213573, 13423, 13423, 13389, 13389, 208144, 208144, 19025, 230099, 11877, 11877, 11815, 11428, 11428, 319266, 69944, 69944, 69576, 69576, 67509, 
67509, 103573, 103573, 77593, 93765, 93765, 270066, 270066, 170755, 170755, 19326, 19326, 211945, 211945, 23988, 23988, 55982, 55982, 20409, 20409, 237542, 237542, 319504, 319504, 76789, 76789, 320184, 320184, 66643, 66643, 15384, 15384, 97165, 270049, 78803, 78803, 13807, 67480, 67480, 230027, 230027, 12396, 12396, 71085, 103266, 103266, 67246, 66874, 66874, 114304, 114304, 74011, 74011, 52028, 
52028, 212448, 212448, 19355, 56455, 56455, 70472, 216134, 216134, 18559, 18559, 98415, 29808, 29808, 230125, 230125, 218850, 218850, 52837, 52837, 194268, 66983, 66983, 215008, 214897, 12912, 239559, 241688, 21405, 242747, 408067, 240064, 242109, 328274, 278304, 218100, 244713, 73680, 67228, 19720, 70549, 226591, 386612, 21422, 21356, 272382, 20680, 20656, 77626, 30791, 26457, 56643, 114641, 
66878, 108943, 237073, 52202, 224344, 57782, 223332, 73902, 213389, 66101, 116939, 18155, 66905, 67556, 18641, 74090, 26428, 78405, 17975, 13004, 27397, 233231, 240087, 17193, 140481, 68852, 268481, 209737, 68304, 16443, 69564, 69707, 117599, 77605, 70359, 238377, 237107, 665389, 330503, 76743, 26431, 14464, 14369, 14345, 13828, 171211, 93838, 72108, 74256, 55936, 27784, 99311, 99151, 237988, 
227526, 232946, 11799, 223922, 11832, 66408, 238276, 70292, 171168, 223970, 75729, 68026, 66356, 231668, 140499, 28105, 230657, 207227, 20744, 108800, 52187, 56516, 226525, 66011, 76787, 240752, 328949, 210126, 109242, 210973, 16475, 229504, 171463, 15381, 74182, 14702, 623781, 50758, 319955, 74559, 73720, 57354, 98417, 218294, 56410, 23821, 65964, 69894, 67467, 382019, 72230, 67230, 69035, 78581, 
54122, 22173, 22154, 57776, 219022, 21930, 332359, 66816, 319508, 76650, 241919, 22599, 20528, 171286, 320213, 215474, 52892, 19727, 70784, 19354, 19255, 70052, 243382, 246086, 54446, 27395, 240047, 17218, 192196, 228357, 435811, 380614, 76568, 76485, 14660, 545276, 68250, 68659, 14082, 27762, 110911, 320664, 71764, 53414, 11778, 56399, 329165, 65246, 74442, 114585, 22696, 22319, 22230, 22110, 
21886, 66855, 71728, 625098, 70484, 329065, 230801, 18439, 108078, 57753, 67219, 228859, 73225, 109075, 226539, 192986, 216516, 67433, 12319, 654812, 216792, 72650, 70620, 81004, 20652, 57385, 66223, 75426, 13690, 668212, 277854, 12014, 77877, 56314, 20846, 320541, 237926, 72129, 93884, 381695, 56772, 67903, 72507, 231841, 22401, 223881, 74201, 212198, 22035, 71807, 276829, 20352, 109245, 240832
"
"mmu-miR-1196-5p","67096, 98910, 269019, 207181, 243548, 78825, 78825, 78825, 74055, 215819, 74365, 74365, 66262, 320191, 50527, 109624, 108105, 57014, 14583, 14583, 12986, 140858, 70827, 330171, 73998, 67972, 208213, 217026, 228139, 15980"
"mmu-miR-1197-3p","110876, 192196, 192196, 80750, 80750, 80750, 80750, 97165, 75723, 75723, 16450, 68089, 70661, 269275, 73713, 76850, 17527, 26400, 68659, 414872, 223881, 56314"
"mmu-miR-1198-3p","102436, 102436, 218100, 72290"
"mmu-miR-1198-5p","211488, 54354, 18105, 18010, 228607, 15557, 23894, 207798, 12495, 226139, 226139, 23796, 170753, 234135, 234135, 320538, 319236, 327766, 621976, 223227, 216233, 67155, 67155, 24050, 24044, 24044, 67792, 227800, 18753, 56711, 109785, 225631, 67144, 245671, 16002, 16002, 15194, 14696, 14696, 212943, 13497, 216613, 213402, 72993, 378431, 224617, 74051, 19879, 19879, 19879, 19879, 66641, 66641, 
66641, 237073, 19279, 244238, 72656, 433956, 433956, 103140, 218476, 385658, 330286, 330286, 330286, 330286, 228846, 93673, 12487, 72278, 12370, 12370, 192734, 75541, 100515, 24136, 75089, 14605, 245572, 100042480, 94253, 213054, 192657, 80797, 57315, 233405, 233405, 72195, 19726, 17087, 16182, 54156, 20928, 11906, 11906, 74335, 52348, 271842, 225998, 225998, 319642, 319642, 108030, 210094, 14123, 
72978, 384281, 68944, 20481, 12394, 16880, 15117, 117589, 11641, 11548, 407821, 21366, 68070, 22337, 353208, 665211, 74202, 223435, 228026, 319636, 22754, 240690, 19201, 269198, 13819, 20358, 238564, 216225, 67295, 83557"
"mmu-miR-1199-5p","72961, 72667, 72667, 67125, 67125, 72195, 72195, 20349, 72462, 72462, 20459, 20459, 237823, 110385, 110385, 18016, 18016, 69564, 17082, 17082, 14387, 17064, 17064, 67593, 67593, 67255, 19822, 108943, 108943, 68098, 70122, 23827, 23827, 244556, 244556, 244556, 328274, 328274, 269870, 269870, 22688, 22688, 67911, 264134, 264134, 72133, 72133, 268741, 21933, 57246, 57246, 17254, 170756, 27050, 
116939, 116939, 258571, 234404, 217365, 217365, 17193, 17193, 229504, 229504, 16195, 117599, 117599, 269604, 269604, 14699, 14699, 56316, 56316, 14562, 14562, 213573, 213573, 13423, 13423, 208144, 208144, 27784, 27784, 237988, 237988, 12539, 230099, 11428, 11428, 69944, 69944, 75462, 65246, 103573, 71726, 170755, 170755, 19326, 19326, 19276, 19276, 211945, 20409, 20409, 237542, 237542, 319504, 
319504, 76789, 76789, 320184, 320184, 66643, 66643, 15384, 15384, 270049, 228859, 228859, 71865, 71865, 319955, 319955, 67480, 67480, 103266, 103266, 67246, 114304, 114304, 67096, 67096, 230125, 230125, 233056, 338354, 94254, 215008, 22230, 68053, 272027, 21814, 72238, 80976, 20737, 72821, 53858, 217201, 225743, 68799, 78697, 73699, 19046, 66812, 18766, 97086, 17970, 52686, 17295, 56758, 54562, 
16565, 54139, 226432, 102423, 171285, 64297, 66284, 329739, 242418, 386753, 234678, 58861, 74256, 214897, 12912, 266692, 70574, 69398, 224671, 319767, 65103, 228359, 320492, 239559, 338363, 236366, 71398, 66771, 72650, 72650, 66358, 22222, 245638, 214968, 18027, 320772, 116848, 30930, 21961, 237403, 268882, 20822, 224617, 56543, 21405, 20933, 16513, 246727, 278304, 381560, 98766, 67009, 70549, 
77626, 73095, 74011, 114641, 52202, 57782, 66101, 223828, 69870, 20017, 66905, 230801, 216134, 55982, 233231, 240087, 140481, 209737, 68304, 15932, 238377, 76743, 26431, 329679, 211922, 13828, 56455, 235661, 93838, 218850, 99311, 99151, 227526, 11799, 14422, 11832, 56399, 77559, 171168, 75729, 69576, 66356, 28105, 171180, 20744, 55994, 94280, 72508, 239719, 29808, 67219, 328949, 210126, 109242, 
210973, 16475, 15381, 319430, 14702, 102058, 74559, 240514, 56410, 65964, 382019, 66983, 69035, 22154, 57776, 21930, 52837, 332359, 66816, 319508, 52892, 19727, 223332, 19354, 243382, 18559, 67968, 246086, 240047, 17218, 192196, 435811, 52150, 54396, 237107, 76485, 14660, 545276, 68250, 68659, 14082, 76594, 110911, 71764, 27215, 223970, 22401, 74442, 240067, 22110, 21886, 272382, 56643, 70061, 
18439, 57753, 67036, 73225, 192986, 12319, 232946, 81004, 108800, 320213, 223881, 66223, 668212, 12014, 77877, 56314, 320541, 72507, 74201, 72230, 22035, 71807, 276829, 109245"
"mmu-miR-122-5p","77975, 241447, 67305, 21812, 104175, 50708, 13195, 100532, 12013, 238055, 18451, 12450, 11987, 11987, 11987, 14936, 14936, 67843, 67843, 69585, 69585, 69585, 66111, 66111, 12041, 11674, 11674, 11674, 11674, 11674, 11674, 11674, 29812, 29812, 54219, 83797, 54720, 56209, 12457, 23849, 11647, 12974, 19126, 20677, 22275, 12892, 14151, 84506, 12166, 723905, 723870, 22042, 15216, 18746, 211586, 
13555, 13555, 56314, 66950, 66950, 207352, 69104, 69104, 15042, 15042, 212632, 55982, 71950, 71950, 215654, 73754, 319317, 71640, 11435, 65246, 68549, 14593, 228852, 94281, 17869"
"mmu-miR-1224-5p","233789, 12750, 319455, 11861, 16443, 16443, 381560, 26400, 77559, 15042, 231841, 11854"
