"mirtarbase","hits"
"mmu-miR-17-5p","12125, 14165, 18412, 19211, 19651, 19651, 20429, 20429, 20848, 20848, 21386, 21386, 21857, 21858, 22339, 22762, 23967, 26416, 60599, 73389, 108655, 237052"
"mmu-miR-181a-5p","11480, 11798, 12043, 12515, 14465, 15396, 16175, 17257, 17702, 19736, 21375, 21473, 21810, 52609, 111336"
"mmu-miR-181b-5p","10736, 11628, 14828, 21859, 22223, 52609"
"mmu-miR-181d-5p","12394"
"mmu-miR-182-5p","21380, 50754, 56484, 224796"
"mmu-miR-183-5p","16974, 24136"
"mmu-miR-184-3p","14366, 18223, 68267"
"mmu-miR-185-5p","12387, 13003, 216850"
"mmu-miR-18a-5p","12394, 15500, 17126, 19211"
"mmu-miR-18b-5p","17126"
"mmu-miR-191-5p","17859, 66878"
"mmu-miR-192-5p","24136"
"mmu-miR-194-5p","14368"
"mmu-miR-195a-5p","12043, 12043, 12050, 12443, 12571, 23821, 56327, 93759"
"mmu-miR-196a-5p","15364, 15416, 15416"
"mmu-miR-199a-3p","12394, 17125, 17709"
"mmu-miR-199a-5p","15251, 93759"
"mmu-miR-199b-3p","13548"
"mmu-miR-19a-3p","14611, 19211, 19211, 20238, 21926, 22762"
"mmu-miR-19b-3p","14611, 15259, 18012, 19211, 22408, 22762, 56378, 218203"
"mmu-miR-1a-3p","11459, 11747, 12313, 12314, 12540, 12725, 14268, 14369, 14463, 14609, 15111, 15111, 15205, 15510, 15511, 16000, 16001, 16600, 17258, 17286, 17888, 18509, 18968, 19744, 20104, 20587, 21909, 23871, 54352, 54446, 56417, 56726, 83796, 107951, 214384, 218397, 218772, 223701, 225028"
"mmu-miR-200a-3p","8660, 13193, 13395, 18186, 18472, 18763, 21417, 24136, 24136, 24136, 24136"
"mmu-miR-200b-3p","12151, 13193, 14254, 18472, 18763, 21417, 21417, 21417, 21417, 22762, 24136, 24136, 24136, 24136, 24136, 52615"
"mmu-miR-200c-3p","12151, 14254, 18121, 20674, 21417, 21417, 21417, 22762, 24136, 24136, 24136"
"mmu-miR-203-3p","7707, 12389, 22061, 22061, 22061, 104433, 226442, 329207"
"mmu-miR-203-5p","12387, 13003"
"mmu-miR-204-5p","12043, 12393, 18212, 20666"
"mmu-miR-205-5p","19211, 56637, 66725"
"mmu-miR-206-3p","12725, 14268, 14314, 14369, 14609, 14609, 14609, 15354, 17286, 18131, 18509, 18509, 18968, 20587, 21859, 22288, 54446, 56417, 56426, 56726, 57874, 66892, 67468, 83796, 208727, 208727, 218772, 225028"
"mmu-miR-20a-5p","8408, 11820, 14165, 16969, 18412, 19211, 20429, 20848, 20848, 21386, 22339, 22762, 23967, 26416, 60599, 73389, 328572"
"mmu-miR-20b-5p","15251, 15251, 15259, 22339, 22339, 94246, 218203"
"mmu-miR-210-3p","11479, 15251, 16331, 20423, 21416"
"mmu-miR-211-5p","12393, 21423"
"mmu-miR-212-3p","17395, 56484"
"mmu-miR-214-3p","14056, 18997, 170574"
"mmu-miR-216a-5p","19211"
"mmu-miR-217-5p","19211"
"mmu-miR-218-5p","225631"
"mmu-miR-219a-5p","12325, 12325, 15208, 18595, 20679, 20679, 30928, 74559, 230700, 320981"
"mmu-miR-21a-5p","14103, 14910, 17131, 17395, 18569, 18569, 18569, 19211, 19211, 21810, 22632, 24063, 24063, 24063, 24064, 53614, 53614, 53614, 55432, 56426, 66892, 67245, 69769, 236576, 236576"
"mmu-miR-22-3p","12532, 13867, 14013, 17187, 17257, 19013, 22631, 23411, 67771, 93759, 208727"
"mmu-miR-221-3p","11863, 12176, 12576, 16590, 16590, 67151, 74747"
"mmu-miR-222-3p","16590, 23871"
"mmu-miR-223-3p","14800, 14812, 14939, 16001, 17260, 17260, 20848, 50754"
"mmu-miR-224-5p","5806, 13654, 19288, 50790, 225872"
"mmu-miR-23a-3p","12028, 12393, 13046, 14102, 16906, 18997, 58801, 170770, 211401"
"mmu-miR-23b-3p","13046, 14007, 14102, 15205, 15205, 16906, 17127, 17127, 17128, 17128, 17129, 17129, 50490, 353326"
"mmu-miR-24-3p","12125, 17127, 17128, 17129, 17260, 17928, 18012, 18429, 21405, 59091, 319924"
"mmu-miR-25-3p","50754, 50754, 66894"
"mmu-miR-26a-5p","14056, 14219, 17128, 19211"
"mmu-miR-26b-5p","16842"
"mmu-miR-27a-3p","11691, 12028, 12156, 12166, 12393, 12394, 12394, 16153, 18263, 19016, 20750, 20810, 27060, 50754, 55994, 58801, 170770"
"mmu-miR-27a-5p","12912, 19013, 70673"
"mmu-miR-27b-3p","12394, 17127, 17128, 17129, 17260, 19016"
"mmu-miR-2861","12393, 15184"
"mmu-miR-28a-5p","110809"
"mmu-miR-290a-3p","94246"
"mmu-miR-291a-3p","12575, 18508"
"mmu-miR-291b-3p","12575"
"mmu-miR-294-3p","12575"
"mmu-miR-294-5p","18508"
"mmu-miR-295-3p","12575"
"mmu-miR-295-5p","18508"
"mmu-miR-296-3p","16001, 21926"
"mmu-miR-296-5p","67511, 71950"
"mmu-miR-297b-3p","70122"
"mmu-miR-297b-5p","70122"
"mmu-miR-298-5p","16001, 20439, 21926, 21926, 22337, 23821"
"mmu-miR-29a-3p","12390, 12824, 12825, 12826, 12827, 12828, 12829, 12830, 12842, 12843, 13193, 13435, 13436, 13717, 14118, 15975, 16000, 18596, 20312, 22695, 23821, 56378, 94216, 208727, 231070"
"mmu-miR-29b-1-5p","11846"
"mmu-miR-29b-2-5p","21803"
"mmu-miR-29b-3p","11480, 12018, 12123, 12125, 12390, 12824, 12825, 12826, 12827, 12827, 12828, 12829, 12830, 12842, 12842, 12843, 13435, 13435, 13436, 13436, 13537, 13717, 13813, 14118, 16000, 20674, 21809, 21929, 23797, 23821, 53867, 57765, 67087, 93759, 94216, 170770, 171543, 208727, 208727, 231070"
"mmu-miR-29c-3p","12390, 22632, 23797, 24063, 208727, 231070"
"mmu-miR-301a-3p","77286, 229615"
"mmu-miR-301b-3p","17285"
"mmu-miR-302a-3p","12443, 50523"
"mmu-miR-302d-3p","12575"
"mmu-miR-30a-5p","11636, 12064, 12448, 13649, 17125, 17246, 19230, 20613, 21859, 67154, 107934, 233833"
"mmu-miR-30c-5p","12394, 12448, 13649, 17125, 17246, 19230, 20613, 21859, 67154, 107934"
"mmu-miR-30d-5p","12064, 26921"
"mmu-miR-30e-5p","16974, 22094, 22228, 60406, 434756"
"mmu-miR-31-5p","11848, 13393, 14165, 15251, 16666, 16667, 17874, 18591"
"mmu-miR-32-5p","320981"
"mmu-miR-320-3p","12721, 13555, 17395, 22668, 23872, 243912, 246707"
"mmu-miR-322-5p","10766, 56327"
"mmu-miR-323-3p","13626"
"mmu-miR-324-5p","319757"
"mmu-miR-325-3p","11838"
"mmu-miR-326-3p","23871, 319757"
"mmu-miR-328-3p","23821"
"mmu-miR-33-5p","11303, 11307, 11307, 268903"
"mmu-miR-335-3p","11735"
"mmu-miR-335-5p","19645"
"mmu-miR-338-3p","12393, 14183"
"mmu-miR-339-3p","18390"
"mmu-miR-339-5p","216850"
"mmu-miR-342-5p","11651"
"mmu-miR-344-3p","56637"
"mmu-miR-346-5p","268903"
"mmu-miR-3473a","19211"
"mmu-miR-34a-5p","11461, 12043, 12053, 12443, 13388, 14451, 18128, 18128, 18128, 20352, 20352, 22330, 22340, 52040, 60436, 83433, 93759, 93759, 108655, 140484, 140484"
"mmu-miR-34b-5p","12053, 12571, 20352, 22330, 140484"
"mmu-miR-34c-5p","11908, 12053, 20352, 22330, 140484, 378430"
"mmu-miR-351-5p","13557, 20439, 21926"
"mmu-miR-363-3p","15111, 21386"
"mmu-miR-370-3p","12168, 13435, 109459"
"mmu-miR-375-3p","12261, 14489, 14489, 15572, 16452, 22601, 22601, 68465, 230484, 258186"
"mmu-miR-376a-3p","18538"
"mmu-miR-378a-3p","18181"
"mmu-miR-381-3p","12064"
"mmu-miR-382-3p","11846"
"mmu-miR-382-5p","68668"
"mmu-miR-383-5p","5937"
"mmu-miR-384-3p","15183"
"mmu-miR-429-3p","21417, 21417, 21417, 21417, 24136, 24136, 24136"
"mmu-miR-434-3p","12387, 13003"
"mmu-miR-449a-5p","12043, 12443, 13557, 17869, 242705"
"mmu-miR-450b-5p","18511, 209224"
"mmu-miR-451a","12283, 17869, 22631, 104371, 105787"
"mmu-miR-466a-3p","13193, 18472, 54446"
"mmu-miR-466d-3p","13193, 18472"
"mmu-miR-466l-3p","15962, 16153"
"mmu-miR-467b-5p","16956"
"mmu-miR-468-3p","15201"
"mmu-miR-470-5p","18999, 71950"
"mmu-miR-471-5p","13505, 15229"
"mmu-miR-483-5p","12702"
"mmu-miR-486a-5p","18509, 19211, 19211, 56458"
"mmu-miR-489-3p","17874"
"mmu-miR-490-3p","71950"
"mmu-miR-495-3p","12064, 13435, 15379"
"mmu-miR-497a-5p","12043, 12050, 13717"
"mmu-miR-499-5p","14370, 19055, 20679, 22339"
"mmu-miR-503-5p","12043"
"mmu-miR-505-3p","110809"
"mmu-miR-511-3p","19878"
"mmu-miR-666-5p","24136"
"mmu-miR-669b-5p","11846"
"mmu-miR-676-3p","11846"
"mmu-miR-680","12387, 13003"
"mmu-miR-690","12387, 13003, 110794"
"mmu-miR-702-3p","237052"
"mmu-miR-705","15395"
"mmu-miR-706","17254"
"mmu-miR-709","11651, 13654, 16476, 17869, 20674, 664799"
"mmu-miR-721","17286"
"mmu-miR-743a-3p","17448"
"mmu-miR-7578","13653"
"mmu-miR-7a-1-3p","12889, 18645, 18751, 20617, 68524, 70350, 208884"
"mmu-miR-7a-2-3p","12889, 18645, 18751, 20617, 68524, 70350, 208884"
"mmu-miR-7a-5p","13684, 15201, 17346, 17347, 72508, 227743"
"mmu-miR-7b-5p","14281, 17257"
"mmu-miR-873a-5p","21929"
"mmu-miR-875-5p","11757"
"mmu-miR-883a-5p","67771"
"mmu-miR-9-5p","12394, 15205, 15205, 15228, 16765, 93759, 207565, 225207"
"mmu-miR-92a-3p","15259, 20429, 21386, 21386, 22061, 22762, 26398, 218203"
"mmu-miR-93-5p","18412, 20848, 22339"
"mmu-miR-96-5p","14862, 72999, 224796"
"mmu-miR-98-5p","11479, 16193, 17385"
"mmu-miR-99a-5p","93762"
"rno-miR-127-3p","16569"
"rno-miR-328a-3p","12389, 16000"
