"entrez","wpids"
"113849","WP1397, WP41"
"113850","WP1397, WP41"
"113851","WP1397, WP41"
"113852","WP41"
"113853","WP1397, WP41"
"113854","WP41"
"113855","WP41"
"113856","WP1397, WP41"
"113857","WP41"
"113858","WP41"
"113859","WP41"
"113860","WP41"
"113862","WP41"
"113863","WP41"
"113864","WP41"
"113865","WP41"
"113868","WP2316, WP662"
"11409","WP1269, WP2318, WP401"
"11421","WP396"
"114229","WP1396"
"11423","WP175, WP522"
"11428","WP310"
"11429","WP434, WP662"
"11430","WP2316"
"11433","WP454"
"11438","WP1266"
"11444","WP1266"
"11450","WP2316, WP447, WP683"
"11459","WP1246, WP216, WP385"
"11461","WP385, WP523, WP85"
"11464","WP216, WP385"
"114641","WP163"
"11465","WP216, WP385, WP523, WP85"
"114679","WP108"
"114713","WP493"
"114715","WP407"
"114716","WP407"
"11472","WP216"
"11474","WP216"
"11475","WP216"
"11477","WP1763, WP339, WP3991"
"11479","WP1763, WP493"
"11480","WP3991"
"11481","WP3675"
"11482","WP512"
"11484","WP240"
"11486","WP2185"
"11487","WP202, WP2075, WP265"
"114896","WP310"
"11491","WP2075, WP265, WP29"
"11499","WP310"
"11504","WP1270"
"11512","WP2185, WP2292, WP232, WP385, WP553"
"11513","WP2185, WP2292, WP232, WP385, WP553"
"11514","WP1246, WP2185, WP2292, WP232, WP385, WP553"
"11515","WP2185, WP2292, WP232, WP385, WP553"
"11516","WP1266"
"11517","WP1266, WP1396, WP456"
"11520","WP447"
"11522","WP1259, WP662"
"11529","WP33, WP662"
"11532","WP662"
"11534","WP2185"
"11535","WP385"
"11536","WP1397, WP385"
"11537","WP447, WP449"
"11539","WP1396, WP207, WP41"
"11540","WP1396, WP189, WP207"
"11541","WP1396, WP189, WP207"
"11542","WP1396, WP189, WP207, WP41"
"11545","WP1763, WP571"
"11548","WP1396, WP189, WP553, WP570"
"11549","WP1396, WP189, WP2141, WP553, WP570"
"11550","WP1396, WP189, WP553, WP570"
"11551","WP1396, WP189, WP570"
"11552","WP1396, WP189, WP570"
"11553","WP1396, WP189, WP570"
"11554","WP1396, WP189, WP41, WP553, WP570"
"11555","WP1396, WP189, WP41, WP553, WP570"
"11556","WP1396, WP189, WP553, WP570"
"11564","WP2185, WP87"
"11565","WP2185"
"11566","WP2185, WP87"
"11595","WP1270, WP2432"
"11600","WP2841"
"11601","WP2841"
"11602","WP2841"
"11603","WP1983, WP2573"
"11604","WP447"
"11606","WP1560, WP396, WP447"
"11607","WP1396, WP189, WP234, WP396"
"11608","WP1396, WP189, WP234"
"11609","WP1396, WP189, WP234, WP396"
"11611","WP240"
"11614","WP1763, WP509"
"11622","WP447"
"11636","WP2185"
"11637","WP2185"
"11639","WP2185"
"11640","WP232, WP310"
"11641","WP232"
"11642","WP232"
"11643","WP232"
"11647","WP1270, WP246"
"11651","WP10, WP1244, WP1249, WP1254, WP1270, WP151, WP1560, WP1763, WP2292, WP246, WP2573, WP265, WP2841, WP297, WP339, WP3675, WP37, WP373, WP387, WP407, WP450, WP488, WP493, WP539, WP57, WP572, WP578, WP6, WP65, WP85"
"11652","WP1560, WP2292, WP246, WP2841, WP339, WP493, WP57, WP6, WP65, WP85"
"11655","WP18"
"11656","WP18"
"11668","WP1259, WP1498, WP33, WP662, WP79"
"11669","WP33, WP79"
"11671","WP79"
"11674","WP157"
"11676","WP157"
"11677","WP1251, WP1265"
"11684","WP318"
"11687","WP318"
"116870","WP1763"
"11688","WP318"
"11689","WP1272, WP1273, WP151, WP318"
"11690","WP151, WP318"
"116939","WP447"
"117149","WP88"
"117150","WP523"
"11717","WP2185"
"11720","WP1247, WP1770, WP435, WP730"
"11735","WP1983"
"11739","WP295, WP310"
"11740","WP295"
"11745","WP374"
"11746","WP374"
"11747","WP374"
"11749","WP374, WP553"
"11752","WP374"
"11754","WP662"
"11761","WP79"
"11770","WP2316, WP447"
"11771","WP572"
"11783","WP1254, WP1496, WP166, WP2075, WP2087, WP2902, WP3638, WP571"
"11785","WP2075"
"11789","WP1763, WP339, WP403, WP523, WP539, WP723"
"11796","WP1254, WP246, WP85"
"11797","WP1254, WP246, WP85"
"11798","WP1254"
"11799","WP1254, WP373"
"11804","WP1983"
"11806","WP1, WP2316"
"11807","WP2316"
"11808","WP1"
"11812","WP1"
"11813","WP1, WP2910"
"11814","WP1, WP2316"
"11816","WP1, WP2075, WP3592"
"11819","WP1763, WP2872, WP509"
"11820","WP2075, WP265"
"11821","WP2185"
"11829","WP2432"
"11832","WP2316"
"11835","WP1266, WP387, WP488, WP509"
"11836","WP1261, WP251, WP339, WP572, WP6, WP85"
"11837","WP163"
"11838","WP2140, WP2141"
"11839","WP1261"
"11840","WP65"
"11843","WP572"
"11845","WP65"
"118453","WP441"
"118454","WP553"
"11846","WP2432, WP662"
"11847","WP662"
"11848","WP1560, WP2292, WP232, WP2432, WP298, WP3857, WP403, WP488, WP523, WP539, WP723, WP85"
"11852","WP2074, WP2432, WP85"
"11853","WP2432"
"11855","WP85"
"11857","WP298, WP571"
"11859","WP1266"
"11865","WP544"
"11867","WP3626"
"11898","WP240, WP662"
"11905","WP449"
"11908","WP373, WP385, WP572"
"11909","WP151, WP1763, WP2841, WP350, WP373, WP385, WP493"
"11910","WP202, WP385, WP512"
"11911","WP2841, WP385, WP493"
"11920","WP1258, WP2087, WP273, WP2902, WP413"
"11924","WP1498"
"11931","WP553"
"11932","WP553"
"11933","WP553"
"11936","WP553"
"11937","WP2075"
"11938","WP2075, WP385, WP553"
"11941","WP553"
"11946","WP1248, WP295"
"11947","WP1248, WP295"
"11949","WP295"
"11950","WP1248, WP295"
"11951","WP1248"
"11957","WP1248, WP295"
"11958","WP1248, WP295"
"11983","WP295"
"11991","WP310"
"11992","WP310, WP662"
"11998","WP1266, WP189"
"12000","WP1396, WP189, WP234"
"12005","WP1763, WP2074, WP339, WP403, WP539, WP723"
"12006","WP2074, WP539, WP723"
"12012","WP1251, WP1770"
"12015","WP1254, WP1261, WP1496, WP2075, WP2841, WP297, WP373, WP3855, WP387, WP407, WP488, WP85"
"12018","WP1254, WP1496"
"12020","WP1270"
"12021","WP310"
"12028","WP1254, WP151, WP2087, WP2902, WP297, WP373"
"12032","WP2432"
"12035","WP662"
"12038","WP475"
"12043","WP1244, WP1254, WP1496, WP373, WP3855, WP450, WP571, WP85"
"12048","WP1254, WP373"
"12050","WP1254"
"12051","WP246"
"12053","WP2910"
"12057","WP1397, WP189"
"12061","WP1396, WP189, WP234, WP449, WP523"
"12062","WP1396, WP189, WP234, WP396, WP523"
"12064","WP2432, WP2910, WP493"
"12097","WP238"
"121021","WP2432"
"12116","WP1770, WP435, WP662, WP730"
"12122","WP1254, WP166, WP2075, WP2087, WP2902"
"12123","WP1254"
"12125","WP1254, WP297, WP373, WP3855"
"12140","WP2316"
"12143","WP297, WP85"
"12145","WP1396, WP189, WP2292, WP234"
"12153","WP3652, WP447"
"12154","WP2067"
"12156","WP2067, WP447, WP512"
"12159","WP113, WP1763, WP2067, WP2074, WP339, WP3663, WP447"
"12161","WP1270, WP3673, WP512"
"12162","WP1270, WP2074, WP3632"
"12166","WP1270, WP2067, WP339"
"12167","WP273, WP339"
"12168","WP1763, WP2067, WP339, WP512"
"12169","WP373, WP387"
"12177","WP1254"
"12180","WP2067"
"12189","WP1244, WP1763, WP2087, WP310"
"12190","WP1258"
"12193","WP3625"
