entrez,mirbase
406950,hsa-mir-16-1
406951,hsa-mir-16-2
407975,hsa-mir-17
407048,hsa-mir-17
406982,hsa-mir-17
406980,hsa-mir-17
406979,hsa-mir-17
406953,hsa-mir-17
406952,hsa-mir-17
406995,hsa-mir-181a-1
406954,hsa-mir-181a-2
406955,hsa-mir-181b-1
406956,hsa-mir-181b-2
406957,hsa-mir-181c
574457,hsa-mir-181d
406958,hsa-mir-182
100302217,hsa-mir-1827
406959,hsa-mir-183
406960,hsa-mir-184
406961,hsa-mir-185
406962,hsa-mir-186
406963,hsa-mir-187
406964,hsa-mir-188
407975,hsa-mir-18a
407048,hsa-mir-18a
406982,hsa-mir-18a
406980,hsa-mir-18a
406979,hsa-mir-18a
406953,hsa-mir-18a
406952,hsa-mir-18a
574033,hsa-mir-18b
574032,hsa-mir-18b
574031,hsa-mir-18b
407049,hsa-mir-18b
406981,hsa-mir-18b
406899,hsa-mir-18b
406965,hsa-mir-190a
100126346,hsa-mir-190b
406966,hsa-mir-191
100302261,hsa-mir-1910
100302222,hsa-mir-1911
100302144,hsa-mir-1912
100302141,hsa-mir-1913
100302129,hsa-mir-1915
406970,hsa-mir-192
406967,hsa-mir-192
406968,hsa-mir-193a
574455,hsa-mir-193b
406969,hsa-mir-194-1
406970,hsa-mir-194-2
406967,hsa-mir-194-2
406972,hsa-mir-196a-1
406973,hsa-mir-196a-2
100422922,hsa-mir-1972-1
100302243,hsa-mir-1972-1
100422922,hsa-mir-1972-2
100302243,hsa-mir-1972-2
100302190,hsa-mir-1976
406976,hsa-mir-199a-1
406977,hsa-mir-199a-2
406978,hsa-mir-199b
407975,hsa-mir-19a
407048,hsa-mir-19a
406982,hsa-mir-19a
406980,hsa-mir-19a
406979,hsa-mir-19a
406953,hsa-mir-19a
406952,hsa-mir-19a
407975,hsa-mir-19b-1
407048,hsa-mir-19b-1
406982,hsa-mir-19b-1
406980,hsa-mir-19b-1
406979,hsa-mir-19b-1
406953,hsa-mir-19b-1
406952,hsa-mir-19b-1
574033,hsa-mir-19b-2
574032,hsa-mir-19b-2
574031,hsa-mir-19b-2
407049,hsa-mir-19b-2
406981,hsa-mir-19b-2
406899,hsa-mir-19b-2
406983,hsa-mir-200a
406984,hsa-mir-200b
406985,hsa-mir-200c
406986,hsa-mir-203a
100616173,hsa-mir-203b
406987,hsa-mir-204
406988,hsa-mir-205
100302260,hsa-mir-2052
100302225,hsa-mir-2053
100302267,hsa-mir-2054
406989,hsa-mir-206
406990,hsa-mir-208a
100126336,hsa-mir-208b
407975,hsa-mir-20a
407048,hsa-mir-20a
406982,hsa-mir-20a
406980,hsa-mir-20a
406979,hsa-mir-20a
406953,hsa-mir-20a
406952,hsa-mir-20a
574033,hsa-mir-20b
574032,hsa-mir-20b
574031,hsa-mir-20b
407049,hsa-mir-20b
406981,hsa-mir-20b
406899,hsa-mir-20b
406992,hsa-mir-210
406993,hsa-mir-211
100302164,hsa-mir-2113
100313839,hsa-mir-2114
100313840,hsa-mir-2115
100313886,hsa-mir-2116
100313779,hsa-mir-2117
406994,hsa-mir-212
406997,hsa-mir-215
406998,hsa-mir-216a
100126319,hsa-mir-216b
406999,hsa-mir-217
407000,hsa-mir-218-1
407001,hsa-mir-218-2
407002,hsa-mir-219a-1
407003,hsa-mir-219a-2
100616335,hsa-mir-219b
