"name","link","genes","ghits","mhits","mthits"
"Tryptophan metabolism","http://www.wikipathways.org/instance/WP465","1572,1571,4129,216,316,217,15,3620,7453,847,3028,1573,1576,38,3033,66002,4967,7166,1644,125061,1543,1562,1544,1545,438,3276,8854,1892,223,224,9420,4193,1588,2639,26,11185,51366,6999,7337,23498,1718,8942,51166,64320,1553,130013","","","hsa-miR-335-5p,hsa-miR-26b-5p,hsa-miR-132-3p,hsa-miR-488-3p,hsa-miR-488-5p,hsa-miR-628-5p,hsa-miR-671-5p,hsa-miR-4786-3p,hsa-miR-4662b,hsa-miR-4647,hsa-miR-4426,hsa-miR-140-5p,hsa-miR-1-3p,hsa-miR-16-5p,hsa-miR-615-3p,hsa-miR-640,hsa-miR-4765,hsa-miR-6821-3p,hsa-miR-6790-3p,hsa-miR-4638-5p,hsa-miR-8079,hsa-miR-1245a,hsa-miR-183-5p,hsa-miR-92b-3p,hsa-miR-320a,hsa-miR-95-5p,hsa-miR-218-5p,hsa-miR-1251-3p,hsa-miR-4641,hsa-miR-6750-3p,hsa-miR-5680,hsa-miR-5692a,hsa-miR-887-5p,hsa-miR-3620-5p,hsa-miR-1587,hsa-miR-6780a-5p,hsa-miR-6779-5p,hsa-miR-3689c,hsa-miR-3689b-3p,hsa-miR-3689a-3p,hsa-miR-30b-3p,hsa-miR-1273h-5p,hsa-miR-6788-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-4741,hsa-miR-4675,hsa-miR-6829-5p,hsa-miR-6862-5p,hsa-miR-4253,hsa-miR-6799-5p,hsa-miR-6883-5p,hsa-miR-6785-5p,hsa-miR-4728-5p,hsa-miR-149-3p,hsa-miR-7106-5p,hsa-miR-3622b-5p,hsa-miR-7158-5p,hsa-miR-581,hsa-miR-6805-5p,hsa-miR-30b-5p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-miR-181b-5p,hsa-miR-124-3p,hsa-miR-34a-5p,hsa-miR-877-3p,hsa-miR-196b-5p,hsa-miR-92a-3p,hsa-let-7b-5p,hsa-miR-27b-3p,hsa-miR-23b-3p,hsa-miR-21-5p,hsa-miR-1260b,hsa-miR-9-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-877-5p,hsa-miR-151a-3p,hsa-miR-361-5p,hsa-miR-552-5p,hsa-miR-4326,hsa-miR-145-5p,hsa-miR-374a-5p,hsa-miR-296-3p,hsa-miR-6809-3p,hsa-miR-6833-3p,hsa-miR-4768-5p,hsa-miR-3191-5p,hsa-miR-4294,hsa-miR-4680-5p,hsa-miR-4679,hsa-miR-4677-3p,hsa-miR-3664-5p,hsa-miR-1231,hsa-miR-632,hsa-miR-6888-3p,hsa-miR-4288,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-3120-5p,hsa-miR-892c-3p,hsa-miR-4676-3p,hsa-miR-452-5p,hsa-miR-429,hsa-miR-200c-3p,hsa-miR-8084,hsa-miR-200b-3p,hsa-miR-7703,hsa-miR-6720-5p,hsa-miR-6512-3p,hsa-miR-196a-3p,hsa-miR-4252,hsa-miR-3128,hsa-miR-4793-3p,hsa-miR-766-3p,hsa-miR-1292-3p,hsa-miR-8073,hsa-miR-221-5p,hsa-miR-6849-3p,hsa-miR-1273g-3p,hsa-miR-508-5p,hsa-miR-340-5p,hsa-miR-221-3p,hsa-miR-4298,hsa-miR-1302,hsa-miR-4314,hsa-miR-513a-5p,hsa-miR-6506-5p,hsa-miR-619-5p,hsa-miR-3192-5p,hsa-miR-4646-5p,hsa-miR-204-3p,hsa-miR-6874-3p,hsa-miR-148b-5p,hsa-miR-208b-5p,hsa-miR-208a-5p,hsa-miR-148a-5p,hsa-miR-200a-3p,hsa-miR-141-3p,hsa-miR-27a-3p,hsa-miR-6768-3p,hsa-miR-4484,hsa-miR-548an,hsa-miR-511-5p,hsa-miR-6509-3p,hsa-miR-6830-3p,hsa-miR-627-3p,hsa-miR-181a-2-3p,hsa-miR-6760-3p,hsa-miR-6885-3p,hsa-miR-3148,hsa-miR-3976,hsa-miR-5007-5p,hsa-miR-548e-5p,hsa-miR-378a-5p,hsa-miR-193b-3p,hsa-miR-10a-5p,hsa-miR-621,hsa-miR-3679-3p,hsa-miR-6749-3p,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-2355-5p,hsa-miR-3156-3p,hsa-miR-4268,hsa-miR-4685-3p,hsa-miR-4287,hsa-miR-660-3p,hsa-miR-5193,hsa-miR-6832-3p,hsa-miR-6793-3p,hsa-miR-4301,hsa-miR-195-3p,hsa-miR-16-2-3p,hsa-miR-5002-5p,hsa-miR-4733-5p,hsa-miR-186-5p,hsa-miR-152-3p,hsa-miR-15b-5p,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-100-5p,hsa-miR-802,hsa-miR-1250-3p,hsa-miR-20a-5p,hsa-miR-106b-5p,hsa-miR-8070,hsa-miR-494-5p,hsa-miR-410-5p,hsa-miR-323b-5p,hsa-miR-1283,hsa-miR-4275,hsa-miR-1255b-2-3p,hsa-miR-582-3p,hsa-miR-30e-3p,hsa-miR-30d-3p,hsa-miR-4276,hsa-miR-30a-3p,hsa-miR-5192,hsa-miR-4644,hsa-miR-4306,hsa-miR-185-5p,hsa-miR-8075,hsa-miR-8082,hsa-miR-3134,hsa-miR-4534,hsa-miR-3928-3p,hsa-miR-5190,hsa-miR-561-5p,hsa-miR-3162-5p,hsa-miR-4703-3p,hsa-miR-711,hsa-miR-20b-3p,hsa-miR-6830-5p,hsa-miR-135a-3p,hsa-miR-5000-5p,hsa-miR-4756-5p,hsa-miR-4739,hsa-miR-6760-5p,hsa-miR-1321,hsa-miR-4690-5p,hsa-miR-6816-3p,hsa-miR-4662a-3p,hsa-miR-4325,hsa-miR-3614-5p,hsa-miR-890,hsa-miR-181d-5p,hsa-miR-181c-5p,hsa-miR-519d-3p,hsa-miR-181a-5p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-17-5p,hsa-miR-7-5p,hsa-miR-1273e,hsa-miR-7847-3p,hsa-miR-219b-3p,hsa-miR-4795-5p,hsa-miR-6840-3p,hsa-miR-302f,hsa-miR-574-5p,hsa-miR-6867-5p,hsa-miR-3650,hsa-miR-4455,hsa-miR-1915-3p,hsa-miR-6764-5p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-143-3p,hsa-miR-18b-5p,hsa-miR-605-5p,hsa-miR-504-5p,hsa-miR-484,hsa-miR-3929,hsa-miR-410-3p,hsa-miR-661,hsa-miR-6516-5p,hsa-miR-500a-3p,hsa-miR-6499-3p,hsa-miR-767-5p,hsa-miR-367-3p,hsa-miR-363-3p,hsa-miR-3145-5p,hsa-miR-4776-3p,hsa-miR-192-3p,hsa-miR-223-3p,hsa-miR-4697-3p,hsa-miR-4470,hsa-miR-935,hsa-miR-4692,hsa-miR-4514,hsa-miR-6715b-5p,hsa-miR-4269,hsa-miR-4742-5p,hsa-miR-330-3p,hsa-miR-205-3p,hsa-miR-4465,hsa-miR-26a-5p,hsa-miR-1297,hsa-miR-222-3p,hsa-miR-6074,hsa-miR-4272,hsa-miR-5580-3p,hsa-miR-3692-3p,hsa-miR-6505-5p,hsa-miR-202-3p,hsa-miR-432-5p,hsa-miR-6859-5p,hsa-miR-3916,hsa-miR-3125,hsa-miR-6864-5p,hsa-miR-6126,hsa-miR-1252-5p,hsa-miR-1322,hsa-miR-651-3p,hsa-miR-3662,hsa-miR-4537,hsa-miR-483-3p,hsa-miR-335-3p,hsa-miR-4711-3p,hsa-miR-526b-3p,hsa-miR-106a-5p,hsa-miR-548ah-5p,hsa-miR-3609,hsa-miR-5682,hsa-miR-6871-3p,hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p,hsa-miR-376c-3p,hsa-miR-3926,hsa-miR-6817-3p,hsa-miR-7110-3p,hsa-miR-1278,hsa-miR-522-3p,hsa-miR-224-3p,hsa-miR-4694-3p,hsa-miR-7850-5p,hsa-miR-620,hsa-miR-1270,hsa-miR-4531,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-496,hsa-miR-8067,hsa-miR-6508-5p,hsa-miR-656-3p,hsa-miR-590-3p,hsa-miR-758-3p,hsa-miR-6808-3p,hsa-miR-542-3p,hsa-miR-4504,hsa-miR-4307,hsa-miR-4729,hsa-miR-561-3p,hsa-miR-548at-5p,hsa-miR-5696,hsa-miR-4266,hsa-miR-499a-5p,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-1255b-5p,hsa-miR-1255a,hsa-miR-571,hsa-miR-556-5p,hsa-miR-4433b-3p,hsa-miR-4797-5p,hsa-miR-944,hsa-miR-641,hsa-miR-3617-5p,hsa-miR-1305,hsa-miR-550a-3p,hsa-miR-200c-5p,hsa-miR-5010-3p,hsa-miR-2113,hsa-miR-1185-2-3p,hsa-let-7f-2-3p,hsa-miR-1185-1-3p,hsa-miR-4789-5p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-381-3p,hsa-miR-4666a-3p,hsa-miR-300,hsa-miR-526b-5p,hsa-miR-4635,hsa-miR-6873-3p,hsa-miR-6879-3p,hsa-miR-3620-3p,hsa-miR-6865-3p,hsa-miR-127-5p,hsa-miR-7843-3p,hsa-miR-1324,hsa-miR-2052,hsa-miR-6729-5p,hsa-miR-4649-5p,hsa-miR-1273a,hsa-miR-3117-5p,hsa-miR-4486,hsa-miR-939-3p,hsa-miR-425-5p,hsa-miR-8055,hsa-miR-548s,hsa-miR-3606-5p,hsa-miR-1233-3p,hsa-miR-1225-3p,hsa-miR-3190-5p,hsa-miR-6500-3p,hsa-miR-378a-3p,hsa-let-7f-5p,hsa-miR-19b-3p,hsa-miR-98-5p,hsa-miR-6798-3p,hsa-miR-6797-5p,hsa-miR-1249-5p,hsa-miR-6133,hsa-miR-6130,hsa-miR-6129,hsa-miR-6127,hsa-miR-4510,hsa-miR-4419a,hsa-miR-361-3p,hsa-miR-6871-5p,hsa-miR-4640-3p,hsa-miR-8057,hsa-miR-760,hsa-miR-6822-3p,hsa-miR-550b-3p,hsa-miR-6741-5p,hsa-miR-6842-3p,hsa-miR-7977,hsa-miR-675-5p,hsa-miR-4466,hsa-miR-5787,hsa-miR-4505,hsa-miR-4430,hsa-miR-3652,hsa-miR-24-3p,hsa-miR-4284,hsa-miR-5589-5p,hsa-miR-4746-3p,hsa-miR-6776-5p,hsa-miR-6504-5p,hsa-miR-3064-5p,hsa-miR-331-3p,hsa-miR-383-3p,hsa-miR-6513-5p,hsa-miR-3913-5p,hsa-miR-3122,hsa-miR-450a-1-3p,hsa-miR-6748-5p,hsa-miR-6769b-5p,hsa-miR-6769a-5p,hsa-miR-3165,hsa-miR-4483,hsa-miR-1293,hsa-miR-6766-5p,hsa-miR-6756-5p,hsa-miR-6745,hsa-miR-363-5p,hsa-miR-4433a-3p,hsa-miR-4459,hsa-miR-4733-3p,hsa-miR-4768-3p,hsa-miR-4761-5p,hsa-miR-1226-3p,ebv-miR-BART10-3p,hsa-miR-375,hsa-miR-374b-5p,hsa-miR-5007-3p,hsa-miR-6739-3p,hsa-miR-6853-3p,hsa-miR-1206,hsa-miR-3613-3p,hsa-miR-5692b,hsa-miR-5692c,hsa-miR-369-3p,hsa-miR-541-5p,hsa-miR-6088,hsa-miR-4770,hsa-miR-6770-5p,hsa-miR-7153-5p,hsa-miR-146b-5p,hsa-miR-146a-5p,hsa-miR-589-5p,hsa-miR-3919,hsa-miR-4773,hsa-miR-379-5p,hsa-miR-3529-5p,hsa-miR-3132,hsa-miR-197-5p,hsa-miR-6835-5p,hsa-miR-128-2-5p,hsa-miR-128-1-5p,hsa-miR-6781-5p,hsa-miR-6721-5p,hsa-miR-744-5p,hsa-miR-4722-5p,hsa-miR-4787-5p,hsa-miR-4781-5p,hsa-miR-6502-3p,hsa-miR-18a-3p,hsa-miR-99a-5p,hsa-miR-1299,hsa-miR-642a-5p,hsa-miR-5093,hsa-miR-6128,hsa-miR-875-3p,hsa-miR-2276-5p,hsa-miR-6892-3p,hsa-miR-191-5p,hsa-miR-7156-3p,hsa-miR-205-5p,hsa-miR-510-3p,hsa-miR-6790-5p,hsa-miR-4658,hsa-miR-4753-3p,hsa-miR-3911,hsa-miR-130b-5p,hsa-miR-4496,hsa-miR-595,hsa-miR-100-3p,hsa-miR-1260a,hsa-miR-7114-3p,hsa-miR-1180-5p,hsa-miR-532-3p,hsa-miR-1224-3p,hsa-miR-520h,hsa-miR-520g-3p,hsa-miR-4796-3p,hsa-miR-499b-5p,hsa-miR-4494,hsa-miR-2115-3p,hsa-miR-3074-3p,hsa-miR-4789-3p,hsa-miR-1277-5p,hsa-miR-190a-3p,hsa-miR-3941,hsa-miR-5011-5p,hsa-miR-603,hsa-miR-362-3p,hsa-miR-329-3p,hsa-miR-8485,hsa-miR-103a-3p"
"Steroid Biosynthesis","http://www.wikipathways.org/instance/WP496","51478,3295,3294,3293,3284,3292,3283,2165,1586,1369","","","hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-484,hsa-miR-324-5p,hsa-miR-142-3p,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-miR-181a-5p,hsa-miR-210-3p,hsa-miR-518c-3p,hsa-miR-492,hsa-miR-3658,hsa-miR-5696,hsa-miR-4729,hsa-miR-6758-3p,hsa-miR-501-5p,hsa-miR-500a-5p,hsa-miR-651-3p"
"Arylamine metabolism","http://www.wikipathways.org/instance/WP694","10,6799,54600,6817,1544,54657","","","hsa-miR-631,hsa-let-7b-5p,hsa-miR-7703,hsa-miR-6720-5p,hsa-miR-6512-3p,hsa-miR-196a-3p,hsa-miR-4252,hsa-miR-3128,hsa-miR-4793-3p,hsa-miR-766-3p,hsa-miR-1292-3p,hsa-miR-8073,hsa-miR-221-5p,hsa-miR-6849-3p,hsa-miR-1273g-3p,hsa-miR-508-5p"
